Castle_Level,Castle_Gold,Castle_Slot,Castle_HP,Castle_Object_Value,Castle_Object_HP,Castle_Skill_1,Castle_Skill_Value_1,Castle_Skill_2,Castle_Skill_Value_2,Castle_Skill_3,Castle_Skill_Value_3,Castle_Skill_4,Castle_Skill_Value_4
1,1000,1,5000,0,1000,Shield,100,Damage,100,Sturn,1,Heal,500
2,1500,2,2000,0,3000,Shield,110,Damage,110,Sturn,1,Heal,520
3,2250,3,3000,0,5000,Shield,120,Damage,120,Sturn,1,Heal,540
4,3375,3,4000,0,7000,Shield,130,Damage,130,Sturn,1,Heal,560
5,4050,4,5000,0,9000,Shield,140,Damage,140,Sturn,1,Heal,580
6,4455,4,6000,0,11000,Shield,150,Damage,150,Sturn,1,Heal,600
7,4901,4,7000,0,13000,Shield,160,Damage,160,Sturn,1,Heal,620
8,5391,5,8000,0,15000,Shield,170,Damage,170,Sturn,1,Heal,640
9,5930,5,9000,0,17000,Shield,180,Damage,180,Sturn,1,Heal,660
10,8894,5,10000,2,19000,Shield,190,Damage,190,Sturn,1,Heal,680
11,9784,6,11000,2,21000,Shield,200,Damage,200,Sturn,1,Heal,700
12,10273,6,12000,2,23000,Shield,210,Damage,210,Sturn,1,Heal,720
13,10787,6,13000,2,25000,Shield,220,Damage,220,Sturn,1,Heal,740
14,11326,6,14000,2,27000,Shield,230,Damage,230,Sturn,2,Heal,760
15,11892,6,15000,2,29000,Shield,240,Damage,240,Sturn,2,Heal,780
16,12487,7,16000,2,31000,Shield,250,Damage,250,Sturn,2,Heal,800
17,13111,7,17000,2,33000,Shield,260,Damage,260,Sturn,2,Heal,820
18,13767,7,18000,2,35000,Shield,270,Damage,270,Sturn,2,Heal,840
19,14455,7,19000,2,37000,Shield,280,Damage,280,Sturn,2,Heal,860
20,17346,8,20000,3,39000,Shield,290,Damage,290,Sturn,2,Heal,880
21,18214,8,21000,3,41000,Shield,300,Damage,300,Sturn,2,Heal,900
22,19124,8,22000,3,43000,Shield,310,Damage,310,Sturn,2,Heal,920
23,20080,8,23000,3,45000,Shield,320,Damage,320,Sturn,2,Heal,940
24,21084,9,24000,3,47000,Shield,330,Damage,330,Sturn,2,Heal,960
25,22139,9,25000,3,49000,Shield,340,Damage,340,Sturn,2,Heal,980
26,23246,9,26000,3,51000,Shield,350,Damage,350,Sturn,2,Heal,1000
27,24408,9,27000,3,53000,Shield,360,Damage,360,Sturn,2,Heal,1020
28,25628,9,28000,3,55000,Shield,370,Damage,370,Sturn,2,Heal,1040
29,26910,10,29000,3,57000,Shield,380,Damage,380,Sturn,2,Heal,1060
30,34983,10,30000,4,59000,Shield,390,Damage,390,Sturn,2,Heal,1080
31,36732,10,31000,4,61000,Shield,400,Damage,400,Sturn,2,Heal,1100
32,38568,10,32000,4,63000,Shield,410,Damage,410,Sturn,2,Heal,1120
33,40497,10,33000,4,65000,Shield,420,Damage,420,Sturn,2,Heal,1140
34,42522,10,34000,4,67000,Shield,430,Damage,430,Sturn,2,Heal,1160
