Character_ID,Character_Icon,Character_Prefab,Character_SkeletonData,Character_Projectile,Character_Name,Character_Class,Character_Team,Character_Skill,Character_Position,Character_Atk_type,Character_Def_type,Character_Order_atk,Character_Recovery,Character_Hp,Character_Atk,Character_Cri,Character_Cri_Damage,Character_Speed_Atk,Character_Speed_Move,Character_Range_Atk,Character_Range_Move,Character_Property_Atk,Character_Property_Def,Character_Parts_Item
10000,Common/Portrait/Character_10000.png,Character_10000/Character_10000.prefab,Character_10000/Character_10000_SkeletonData.asset,,바리게이트,6,0,2,1,1,1,,,500,0.3,1.2,1,3,1,0,0,0,,
10001,Common/Portrait/Character_10001.png,Character_10001/Character_10001.prefab,Character_10001/Character_10001_SkeletonData.asset,,데스나이트,1,1,10001,2,1,1,1,30,3200,110,0.17875,1.24,0.95,1,1.2,5,0,0,61001
10002,Common/Portrait/Character_10002.png,Character_10002/Character_10002.prefab,Character_10002/Character_10002_SkeletonData.asset,Character_10002/Character_10002_Projectile.prefab,리치,1,1,10002,2,0,2,1,30,3000,107.5,0.175,1.235,0.958333333,1,5,6,0,0,61002
10003,Common/Portrait/Character_10003.png,Character_10003/Character_10003.prefab,Character_10003/Character_10003_SkeletonData.asset,,해골 병사,1,1,10003,2,1,1,1,30,2700,108,0.19,1.325,0.975,1,1,5,0,0,61003
10004,Common/Portrait/Character_10004.png,Character_10004/Character_10004.prefab,Character_10004/Character_10004_SkeletonData.asset,Character_10004/Character_10004_Projectile.prefab,해골 궁수,1,1,10004,2,0,2,1,30,2150,110.25,0.20125,1.35,0.966666667,1,7,7,0,0,61004
10005,Common/Portrait/Character_10005.png,Character_10005/Character_10005.prefab,Character_10005/Character_10005_SkeletonData.asset,,누더기 골렘,1,1,10005,2,1,1,1,30,3200,110,0.17875,1.24,0.95,1,1.2,5,0,0,61005
10006,Common/Portrait/Character_10006.png,Character_10006/Character_10006.prefab,Character_10006/Character_10006_SkeletonData.asset,,오크로드,1,2,10006,2,1,1,1,30,2750,115,0.1875,1.2575,0.95,1.5,1.2,5,0,0,61006
10007,Common/Portrait/Character_10007.png,Character_10007/Character_10007.prefab,Character_10007/Character_10007_SkeletonData.asset,,오크 전사,1,2,10007,2,1,1,1,30,2900,106,0.19,1.28,0.975,1,1,5,0,0,61007
10008,Common/Portrait/Character_10008.png,Character_10008/Character_10008.prefab,Character_10008/Character_10008_SkeletonData.asset,,오크 라이더,1,2,10008,2,1,1,1,30,2500,110,0.2,1.3025,0.975,1.5,1,5,0,0,61008
10009,Common/Portrait/Character_10009.png,Character_10009/Character_10009.prefab,Character_10009/Character_10009_SkeletonData.asset,Character_10009/Character_10009_Projectile.prefab,서큐버스 퀸,1,3,10009,2,0,2,1,30,3250,105.75,0.1675,1.25,0.958333333,1,5,6.5,0,0,61009
10010,Common/Portrait/Character_10010.png,Character_10010/Character_10010.prefab,Character_10010/Character_10010_SkeletonData.asset,Character_10010/Character_10010_Projectile.prefab,서큐버스,1,3,10010,2,0,2,1,30,3250,105.75,0.1675,1.25,0.958333333,1,5,6.5,0,0,61010
10011,Common/Portrait/Character_10011.png,Character_10011/Character_10011.prefab,Character_10011/Character_10011_SkeletonData.asset,Character_10011/Character_10011_Projectile.prefab,비홀더,1,3,10011,2,1,1,1,30,2600,102,0.2125,1.26,0.983333333,1,1,5,0,0,61011
10012,Common/Portrait/Character_10012.png,Character_10012/Character_10012.prefab,Character_10012/Character_10012_SkeletonData.asset,,인큐버스,1,3,10012,2,1,1,1,30,3100,104,0.17,1.2575,0.975,1,1,5,0,0,61012
10013,Common/Portrait/Character_10013.png,Character_10013/Character_10013.prefab,Character_10013/Character_10013_SkeletonData.asset,,발록,1,4,10013,2,1,1,1,30,3425,107.5,0.16125,1.2225,0.95,1,1.2,5,0,0,61013
10014,Common/Portrait/Character_10014.png,Character_10014/Character_10014.prefab,Character_10014/Character_10014_SkeletonData.asset,,바포메트,1,4,10014,2,1,1,1,30,4000,100.5,0.16,1.205,0.958333333,1.2,5,6,0,0,61014
10015,Common/Portrait/Character_10015.png,Character_10015/Character_10015.prefab,Character_10015/Character_10015_SkeletonData.asset,Character_10015/Character_10015_Projectile.prefab,아수라,1,4,10015,2,0,2,1,30,2000,112.5,0.2125,1.325,0.966666667,1,7,6,0,0,61015
10016,Common/Portrait/Character_10016.png,Character_10016/Character_10016.prefab,Character_10016/Character_10016_SkeletonData.asset,Character_10016/Character_10016_Projectile.prefab,뱀파이어,1,4,10016,2,0,2,1,30,3500,104,0.1675,1.22,0.958333333,1.2,5,6,0,0,61016
10017,Common/Portrait/Character_10017.png,Character_10017/Character_10017.prefab,Character_10017/Character_10017_SkeletonData.asset,Character_10017/Character_10017_Projectile.prefab,폭탄 고블린,1,5,10017,2,0,2,1,30,3000,107.5,0.175,1.235,0.958333333,1,5,6,0,0,61017
10018,Common/Portrait/Character_10018.png,Character_10018/Character_10018.prefab,Character_10018/Character_10018_SkeletonData.asset,,고블린,1,5,10018,2,1,1,1,30,2425,103.5,0.2125,1.3,0.983333333,1.8,1,5,0,0,61018
10019,Common/Portrait/Character_10019.png,Character_10019/Character_10019.prefab,Character_10019/Character_10019_SkeletonData.asset,Character_10019/Character_10019_Projectile.prefab,보물 고블린,1,5,10019,2,0,2,1,30,3250,105.75,0.1675,1.25,0.958333333,1.8,5,5,0,0,61019
