Character_ID,Character_Hp_Up,Character_Atk_Up,Character_Cri_Up,Character_Cri_Damage_Up,Character_Speed_Atk_Up,Character_Speed_Move_Up,Character_Range_Atk_Up,Character_Range_Move_Up,Rate_1_option_1,Rate_1_option_Value_1,Rate_1_option_2,Rate_1_option_Value_2,Rate_2_option_1,Rate_2_option_Value_1,Rate_2_option_2,Rate_2_option_Value_2,Rate_3_option_1,Rate_3_option_Value_1,Rate_3_option_2,Rate_3_option_Value_2,Rate_4_option_1,Rate_4_option_Value_1,Rate_4_option_2,Rate_4_option_Value_2,Rate_5_option_1,Rate_5_option_Value_1,Rate_5_option_2,Rate_5_option_Value_2
10001,270,12,0.001,0.001,0,0,0,0,1,100,2,500,0,2,,,3,0.05,6,0.1,3,0.05,1,100,0,3,,
10002,250,10.5,0.001,0.001,0,0,0,0,1,100,4,0.02,0,2,,,6,0.1,2,500,0,3,,,5,0.1,6,0.1
10003,220,10.8,0.001,0.001,0,0,0,0,2,500,2,500,0,2,,,6,0.1,5,0.1,5,0.1,4,0.02,0,3,,
10004,165,12.15,0.001,0.001,0,0,0,0,2,500,2,500,1,100,4,0.02,0,2,,,2,500,1,100,0,3,,
10005,270,12,0.001,0.001,0,0,0,0,2,500,3,0.05,0,2,,,6,0.1,2,500,4,0.02,5,0.1,0,3,,
10006,225,15,0.001,0.001,0,0,0,0,3,0.05,2,500,0,2,,,1,100,6,0.1,2,500,1,100,0,3,,
10007,240,9.6,0.001,0.001,0,0,0,0,5,0.1,2,500,2,500,5,0.1,0,2,,,1,100,2,500,0,3,,
10008,200,12,0.001,0.001,0,0,0,0,1,100,3,0.05,0,2,,,6,0.1,1,100,0,3,,,2,500,1,100
10009,275,9.45,0.001,0.001,0,0,0,0,3,0.05,5,0.1,0,2,,,5,0.1,3,0.05,2,500,6,0.1,0,3,,
10010,275,9.45,0.001,0.001,0,0,0,0,6,0.1,1,100,5,0.1,6,0.1,0,2,,,2,500,1,100,0,3,,
10011,210,7.2,0.001,0.001,0,0,0,0,2,500,6,0.1,0,2,,,1,100,4,0.02,6,0.1,1,100,0,3,,
10012,260,8.4,0.001,0.001,0,0,0,0,5,0.1,2,500,0,2,,,6,0.1,5,0.1,1,100,5,0.1,0,3,,
10013,292.5,10.5,0.001,0.001,0,0,0,0,1,100,5,0.1,0,2,,,6,0.1,4,0.02,0,3,,,2,500,5,0.1
10014,350,6.3,0.001,0.001,0,0,0,0,5,0.1,2,500,0,2,,,6,0.1,2,500,1,100,3,0.05,0,3,,
