Daily_Grp_Index,Daily_Grp_Item_ID,Daily_Grp_Item_Value,Daily_Grp_Buy_Type,Daily_Grp_Buy_Value,Daily_Grp_Per
0,50001,3,0,300,0.152207002
1,50002,3,0,300,0.152207002
2,50003,3,0,300,0.152207002
3,50004,3,0,300,0.152207002
4,50005,3,0,300,0.152207002
5,50006,3,0,300,0.152207002
6,50007,3,0,300,0.152207002
7,50008,3,0,300,0.152207002
8,50009,3,0,300,0.152207002
9,50010,3,0,300,0.152207002
10,50011,3,0,300,0.152207002
11,50012,3,0,300,0.152207002
12,50013,3,0,300,0.152207002
13,50014,3,0,300,0.152207002
14,50015,3,0,300,0.152207002
15,50016,3,0,300,0.152207002
16,50017,3,0,300,0.152207002
17,50018,3,0,300,0.152207002
18,50019,3,0,300,0.152207002
19,50020,3,0,300,0.152207002
20,50021,3,0,300,0.152207002
21,50022,3,0,300,0.152207002
22,50023,3,0,300,0.152207002
23,50024,3,0,300,0.152207002
24,50025,3,0,300,0.152207002
25,50026,3,0,300,0.152207002
26,50027,3,0,300,0.152207002
27,50028,3,0,300,0.152207002
28,50029,3,0,300,0.152207002
29,50030,3,0,300,0.152207002
30,50031,3,0,300,0.152207002
31,50032,3,0,300,0.152207002
32,50033,3,0,300,0.152207002
33,50034,3,0,300,0.152207002
34,50035,3,0,300,0.152207002
35,51001,2,1,3000,4.566210046
36,51002,2,1,10000,2.283105023
37,51003,2,0,300,0.152207002
38,52001,10,1,3000,4.566210046
39,52002,10,0,10000,2.283105023
40,52003,5,0,300,0.152207002
41,53001,10,1,30000,2.283105023
42,54001,3,0,100,3.04414003
43,54002,3,0,100,3.04414003
44,54003,3,0,100,3.04414003
45,54004,3,0,100,3.04414003
46,54005,2,0,150,1.522070015
47,54006,2,0,150,1.522070015
48,54007,2,0,150,1.522070015
49,54008,2,0,150,1.522070015
50,54009,1,0,200,0.152207002
51,54010,1,0,200,0.152207002
52,54011,1,0,200,0.152207002
53,54012,1,0,200,0.152207002
54,60001,10,1,3000,4.566210046
55,60002,10,1,3000,4.566210046
56,60003,10,1,3000,4.566210046
57,60004,10,1,3000,4.566210046
58,60005,10,1,10000,2.283105023
59,60006,10,1,10000,2.283105023
60,60007,10,1,10000,2.283105023
61,60008,10,1,10000,2.283105023
62,60009,5,0,100,0.456621005
63,60010,5,0,100,0.456621005
64,60011,5,0,100,0.456621005
65,60012,5,0,100,0.456621005
66,60013,10,1,3000,3.805175038
67,60014,10,1,3000,3.805175038
68,60015,10,1,3000,3.805175038
69,60016,5,1,10000,3.805175038
70,60017,5,1,10000,2.435312024
71,60018,5,1,10000,2.435312024
72,60019,5,1,10000,2.435312024
73,60020,3,0,150,2.435312024
74,60021,3,0,150,0.152207002
75,60022,3,0,150,0.152207002
76,60023,3,0,150,0.152207002
77,60024,1,0,300,0.152207002
78,70016,1,0,50,3.04414003
79,70017,1,0,100,1.522070015
80,70018,1,0,200,0.152207002
