Dg_Rwd_Item_Grp_ID,Dg_Rwd_Item_ID_1,Dg_Rwd_Item_Per_1,Dg_Rwd_Item_Value_Min_1,Dg_Rwd_Item_Value_Max_1,Dg_Rwd_Item_ID_2,Dg_Rwd_Item_Per_2,Dg_Rwd_Item_Value_Min_2,Dg_Rwd_Item_Value_Max_2,Dg_Rwd_Item_ID_3,Dg_Rwd_Item_Per_3,Dg_Rwd_Item_Value_Min_3,Dg_Rwd_Item_Value_Max_3
1,70016,0.2,1,1,,,,,,,,
2,70017,0.4,1,1,,,,,,,,
3,70017,0.6,1,1,,,,,,,,
4,70018,0.8,1,1,,,,,,,,
5,70018,1,1,1,,,,,,,,
6,52001,1,2,3,,,,,,,,
7,52001,1,4,5,,,,,,,,
8,52002,1,1,1,52001,1,2,3,,,,
9,52002,1,2,3,52001,1,4,5,,,,
10,52002,1,4,5,52001,1,4,5,,,,
11,52003,1,1,1,52002,1,2,3,52001,1,4,5
12,52003,1,2,3,52002,1,2,3,52001,1,2,3
13,52003,1,4,5,52002,1,2,3,52002,1,4,5
14,52003,1,7,8,,,,,,,,
15,63101,1,3,4,,,,,,,,
16,31000,1,1,1,,,,,,,,
17,31000,1,1,2,63101,1,4,5,,,,
18,31000,1,2,3,63201,0.8,3,4,,,,
19,63201,1,3,4,21000,0.2,1,2,,,,
20,63201,1,4,5,21000,1,1,2,,,,
21,21000,1,2,4,63301,0.8,1,2,,,,
22,63301,1,3,5,11000,0.2,1,2,,,,
23,11000,1,1,2,63301,1,4,6,,,,
24,63102,1,3,4,,,,,,,,
25,32000,1,1,1,,,,,,,,
26,32000,1,1,2,63102,1,4,5,,,,
27,32000,1,2,3,63202,0.8,3,4,,,,
28,63202,1,3,4,22000,0.2,1,2,,,,
29,22000,1,4,5,63202,1,1,2,,,,
30,22000,1,2,4,60022,0.8,1,2,,,,
31,60022,1,3,5,12000,0.2,1,2,,,,
32,12000,1,1,2,60022,1,4,6,,,,
33,63103,1,3,4,,,,,,,,
34,33000,1,1,1,,,,,,,,
35,33000,1,1,2,63103,1,4,5,,,,
36,33000,1,2,3,63203,0.8,3,4,,,,
37,63203,1,3,4,23000,0.2,1,2,,,,
38,23000,1,4,5,63203,1,1,2,,,,
39,23000,1,2,4,63302,0.8,1,2,,,,
40,63302,1,3,5,13000,0.2,1,2,,,,
41,13000,1,1,2,63302,1,4,6,,,,
42,63104,1,3,4,,,,,,,,
43,34000,1,1,1,,,,,,,,
44,34000,1,1,2,63104,1,4,5,,,,
45,34000,1,2,3,63204,0.8,3,4,,,,
46,63204,1,3,4,24000,0.2,1,2,,,,
47,24000,1,4,5,63204,1,1,2,,,,
48,24000,1,2,4,63304,0.8,1,2,,,,
49,63304,1,3,5,14000,0.2,1,2,,,,
50,14000,1,1,2,63304,1,4,6,,,,
51,62101,1,3,4,,,,,,,,
52,62101,1,3,4,54101,0.8,1,1,,,,
53,62101,1,4,5,54101,1,1,2,,,,
54,62102,1,3,4,,,,,,,,
55,62102,1,3,4,54102,0.8,1,1,,,,
56,62102,1,4,5,54102,1,1,2,,,,
57,62103,1,3,4,,,,,,,,
58,62103,1,3,4,54103,0.8,1,1,,,,
59,62103,1,4,5,54103,1,1,2,,,,
60,62201,1,3,4,,,,,,,,
61,62201,1,3,4,54201,0.8,1,1,,,,
62,62201,1,4,5,54201,1,1,2,,,,
63,62202,1,3,4,,,,,,,,
64,62202,1,3,4,54202,0.8,1,1,,,,
65,62202,1,4,5,54202,1,1,2,,,,
66,62203,1,3,4,,,,,,,,
67,62203,1,3,4,54203,0.8,1,1,,,,
68,62203,1,4,5,54203,1,1,2,,,,
69,62301,1,3,4,,,,,,,,
70,62301,1,3,4,54301,0.8,1,1,,,,
71,62301,1,4,5,54301,1,1,2,,,,
72,62302,1,3,4,,,,,,,,
73,62302,1,3,4,54302,0.8,1,1,,,,
74,62302,1,4,5,54302,1,1,2,,,,
75,62303,1,3,4,,,,,,,,
76,62303,1,3,4,54303,0.8,1,1,,,,
77,62303,1,4,5,54303,1,1,2,,,,
78,62401,1,3,4,,,,,,,,
79,62401,1,3,4,54401,0.8,1,1,,,,
80,62401,1,4,5,54401,1,1,2,,,,
81,62402,1,3,4,,,,,,,,
82,62402,1,3,4,54402,0.8,1,1,,,,
83,62402,1,4,5,54402,1,1,2,,,,
84,62403,1,3,4,,,,,,,,
85,62403,1,3,4,54403,0.8,1,1,,,,
86,62403,1,4,5,54403,1,1,2,,,,
