던전 번호,이미지,배경 이미지,던전 이름,필요 행동력,플레이 타임,활성화 요일,단계,보상 골드 최소,보상 골드 최대,보상 아이템 그룹 테이블,몬스터 웨이브,이용 문구,클리어 조건,,
Dg_index,Dg_Image,Dg_Bg,Dg_Name,Dg_Act,Dg_Time,Dg_Week,Dg_Lv,Dg_Rwd_Gold_Min,Dg_Rwd_Gold_Max,Dg_Rwd_Item_Grp_ID,Dg_Mob_Wave,Dg_Comment,Dg_ClearCondition_1,Dg_ClearCondition_2,Dg_ClearCondition_3
0,Dg_1,Bg_11,광산 습격,15,60,1,1,1000,2000,,90001,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,2,2100,3000,,90002,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,3,2800,4000,,90003,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,4,3500,5000,,90004,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,5,4200,6000,1,90005,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,6,4900,7000,2,90006,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,7,5600,8000,3,90007,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,8,6300,9000,4,90008,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,9,7000,10000,5,90009,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,1,700,1000,6,90010,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,2,1050,1500,7,90011,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,3,1400,2000,8,90012,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,4,1750,2500,9,90013,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,5,2100,3000,10,90014,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,6,2450,3500,11,90015,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,7,2800,4000,12,90016,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,8,3150,4500,13,90017,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,9,3500,5000,14,90018,,0,1,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,1,700,1000,15,90019,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,2,1050,1500,16,90020,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,3,1400,2000,17,90021,,2,,
