Item_Chest_ID,Item_Chest_Icon,Item_Chest_Name,Item_Chest_Type_Value_Min_1,Item_Chest_Type_Value_Max_1,Item_Chest_item_Value_1,Item_Chest_Type_Value_Min_2,Item_Chest_Type_Value_Max_2,Item_Chest_item_Value_2,Item_Chest_Type_Value_Min_3,Item_Chest_Type_Value_Max_3,Item_Chest_item_Value_3,Item_Chest_Type_Value_Min_4,Item_Chest_Type_Value_Max_4,Item_Chest_item_Value_4,item_Chest_Effect_Subject,Item_Chest_Subject
70001,Box/Icon_SoulBox_01,악마의 영혼 상자 (소),1,20,61000,,,,,,,,,,,"악마의 영혼이 담긴 상자.
사용 시 악마의 영혼 획득 가능."
70002,Box/Icon_SoulBox_02,악마의 영혼 상자 (중),10,50,61000,,,,,,,,,,,"고위 악마의 영혼이 담긴 상자.
사용 시 악마의 영혼 획득 가능."
70003,Box/Icon_SoulBox_03,악마의 영혼 상자 (대),30,100,61000,,,,,,,,,,,"고대 악마의 영혼이 담긴 상자.
사용 시 악마의 영혼 획득 가능."
70004,Box/Icon_StaminaBox_01,행동력 상자 (소),2,3,51001,,,,,,,,,,,사용 시 행동력 회복 물약을 획득할 수 있다.
70005,Box/Icon_StaminaBox_02,행동력 상자 (중),2,3,51002,,,,,,,,,,,사용 시 행동력 회복 물약을 획득할 수 있다.
70006,Box/Icon_StaminaBox_03,행동력 상자 (대),2,3,51003,,,,,,,,,,,사용 시 행동력 회복 물약을 획득할 수 있다.
70007,Box/Icon_EXPBox_01,경험치 상자 (소),7,10,52001,,,,,,,,,,,사용 시 경험치 책을 획득 할 수 있는 상자
70008,Box/Icon_EXPBox_02,경험치 상자 (중),7,10,52002,,,,,,,,,,,사용 시 경험치 책을 획득 할 수 있는 상자
70009,Box/Icon_EXPBox_03,경험치 상자 (대),7,10,52003,,,,,,,,,,,사용 시 경험치 책을 획득 할 수 있는 상자
70010,Box/Icon_ElementalStoneBox_01,속성석 상자 (소),1,3,54101,1,3,54201,1,3,54301,1,3,54401,,사용 시 하위 등급의 속성석 획득 가능
70011,Box/Icon_ElementalStoneBox_02,속성석 상자 (중),1,3,54102,1,3,54202,1,3,54302,1,3,54402,,사용 시 중간 등급의 속성석 획득 가능
70012,Box/Icon_ElementalStoneBox_03,속성석 상자 (대),1,3,54103,1,3,54203,1,3,54303,1,3,54403,,사용 시 상위 등급의 속성석 획득 가능
70013,Box/Icon_EquipmentBox_01,장비 아이템 상자 (소),1,2,30000,,,,,,,,,,,사용 시 장비 아이템을 제작할 수 있는 재료 획득 가능.
70014,Box/Icon_EquipmentBox_02,장비 아이템 상자 (중),1,2,20000,,,,,,,,,,,사용 시 장비 아이템을 제작할 수 있는 재료 획득 가능.
70015,Box/Icon_EquipmentBox_03,장비 아이템 상자 (대),1,2,10000,,,,,,,,,,,사용 시 장비 아이템을 제작할 수 있는 재료 획득 가능.
70016,Box/Icon_GoldBox_01,골드 상자 (소),1000,3000,2,,,,,,,,,,,사용 시 골드 획득
70017,Box/Icon_GoldBox_02,골드 상자 (증),3000,8000,2,,,,,,,,,,,사용 시 골드 획득
70018,Box/Icon_GoldBox_03,골드 상자 (대),8000,12000,2,,,,,,,,,,,사용 시 골드 획득
70019,Box/,일반 상자,50,50,1,1000,2000,2,1,1,300,1,1,30000,,사용 시 재화 및 아이템을 획득할 수 있는 상자
70020,Box/,고급 상자,100,100,1,3000,5000,2,2,3,200,2,3,20000,,사용 시 재화 및 아이템을 획득할 수 있는 상자
70021,Box/,최고급 상자,200,200,1,6000,8000,2,6,6,100,6,6,10000,,사용 시 재화 및 아이템을 획득할 수 있는 상자
