Item_Parts_ID,Item_Parts_Icon,Item_Parts_Name,Item_Parts_Combine,Item_Parts_Gain_1,Item_Parts_Sell,Item_Parts_Subject
61001,Soul/Icon_Soul_60001.png,데스나이트의 영혼,10,10001,,중복 소환된 데스나이트의 영혼. 데스나이트를 승급 시키는데 사용.
61002,Soul/Icon_Soul_60002.png,리치의 영혼,10,10002,,중복 소환된 리치의 영혼. 리치를 승급 시키는데 사용.
61003,Soul/Icon_Soul_60003.png,해골병사의 영혼,10,10003,,중복 소환된 해골병사의 영혼. 해골병사를 승급 시키는데 사용.
61004,Soul/Icon_Soul_60004.png,해골궁수의 영혼,10,10004,,중복 소환된 해골궁수의 영혼. 해골궁수를 승급 시키는데 사용.
61005,Soul/Icon_Soul_60005.png,누더기 골렘의 영혼,10,10005,,중복 소환된 누더기 골렘의 영혼. 누더기 골렘을 승급 시키는데 사용.
61006,Soul/Icon_Soul_60006.png,오크로드의 영혼,10,10006,,중복 소환된 오크로드의 영혼. 오크로드를 승급 시키는데 사용.
61007,Soul/Icon_Soul_60007.png,오크 전사의 영혼,10,10007,,중복 소환된 오크 전사의 영혼. 오크 전사를 승급 시키는데 사용.
61008,Soul/Icon_Soul_60008.png,오크 라이더의 영혼,10,10008,,중복 소환된 오크 라이더의 영혼. 오크 라이더를 승급 시키는데 사용.
61009,Soul/Icon_Soul_60009.png,서큐버스 퀸의 영혼,10,10009,,중복 소환된 서큐버스 퀸의 영혼. 서큐버스 퀸을 승급 시키는데 사용.
61010,Soul/Icon_Soul_60010.png,서큐버스의 영혼,10,10010,,중복 소환된 서큐버스의 영혼. 서큐버스를 승급 시키는데 사용.
61011,Soul/Icon_Soul_60011.png,비홀더의 영혼,10,10011,,중복 소환된 비홀더의 영혼. 비홀더를 승급 시키는데 사용.
61012,Soul/Icon_Soul_60012.png,인큐버스의 영혼,10,10012,,중복 소환된 인큐버스의 영혼. 인큐버스를 승급 시키는데 사용.
61013,Soul/Icon_Soul_60013.png,발록의 영혼,10,10013,,중복 소환된 발록의 영혼. 발록을 승급 시키는데 사용.
61014,Soul/Icon_Soul_60014.png,바포메트의 영혼,10,10014,,중복 소환된 바포메트의 영혼. 바포메트를 승급 시키는데 사용.
61015,Soul/Icon_Soul_60015.png,아수라의 영혼,10,10015,,중복 소환된 아수라의 영혼. 아수라를 승급 시키는데 사용.
61016,Soul/Icon_Soul_60016.png,뱀파이어의 영혼,10,10016,,중복 소환된 뱀파이어의 영혼. 뱀파이어를 승급 시키는데 사용.
61017,Soul/Icon_Soul_60017.png,폭탄고블린의 영혼,10,10017,,중복 소환된 폭탄고블린의 영혼. 폭탄고블린을 승급 시키는데 사용.
61018,Soul/Icon_Soul_60018.png,고블린의 영혼,10,10018,,중복 소환된 고블린의 영혼. 고블린을 승급 시키는데 사용.
61019,Soul/Icon_Soul_60019.png,보물고블린의 영혼,10,10019,,중복 소환된 보물고블린의 영혼. 보물고블린을 승급 시키는데 사용.
61020,Soul/Icon_Soul_60020.png,순찰대장의 영혼,10,10020,,중복 소환된 순찰대장의 영혼. 순찰대장을 승급 시키는데 사용.
61021,Soul/Icon_Soul_60021.png,암살자의 영혼,10,10021,,중복 소환된 암살자의 영혼. 암살자를 승급 시키는데 사용.
61022,Soul/Icon_Soul_60022.png,맨드레이크의 영혼,10,10022,,중복 소환된 맨드레이크의 영혼. 맨드레이크를 승급 시키는데 사용.
61023,Soul/Icon_Soul_60023.png,슬라임킹의 영혼,10,10023,,중복 소환된 슬라임킹의 영혼. 슬라임킹을 승급 시키는데 사용.
61024,Soul/Icon_Soul_60024.png,슬라임의 영혼,10,10024,,중복 소환된 슬라임의 영혼. 슬라임을 승급 시키는데 사용.
61025,Soul/Icon_Soul_60025.png,돌골렘의 영혼,10,10025,,중복 소환된 돌골렘의 영혼. 돌골렘을 승급 시키는데 사용.
61026,Soul/Icon_Soul_60026.png,미믹의 영혼,10,10026,,중복 소환된 미믹의 영혼. 미믹을 승급 시키는데 사용.
61027,Soul/Icon_Soul_60027.png,송곳니의 영혼,10,10027,,중복 소환된 송곳니의 영혼. 송곳니를 승급 시키는데 사용.
61028,Soul/Icon_Soul_60028.png,늑대인간의 영혼,10,10028,,중복 소환된 늑대인간의 영혼. 늑대인간을 승급 시키는데 사용.
61029,Soul/Icon_Soul_60029.png,놀 전사의 영혼,10,10029,,중복 소환된 놀 전사의 영혼. 놀 전사를 승급 시키는데 사용.
61030,Soul/Icon_Soul_60030.png,놀 궁수의 영혼,10,10030,,중복 소환된 놀 궁수의 영혼. 놀 궁수를 승급 시키는데 사용.
61031,Soul/Icon_Soul_60031.png,사이클롭스의 영혼,10,10031,,중복 소환된 사이클롭스의 영혼. 사이클롭스를 승급 시키는데 사용.
61032,Soul/Icon_Soul_60032.png,오우거의 영혼,10,10032,,중복 소환된 오우거의 영혼. 오우거를 승급 시키는데 사용.
61033,Soul/Icon_Soul_60033.png,하피퀸의 영혼,10,10033,,중복 소환된 하피퀸의 영혼. 하피퀸을 승급 시키는데 사용.
61034,Soul/Icon_Soul_60034.png,하피의 영혼,10,10034,,중복 소환된 하피의 영혼. 하피를 승급 시키는데 사용.
61035,Soul/Icon_Soul_60035.png,까마귀의 영혼,10,10035,,중복 소환된 까마귀의 영혼. 까마귀를 승급 시키는데 사용.
62101,Parts/Icon_EarthStonePiece_01,하급 땅의 속성석 조각,10,54101,1000,하급 땅의 속성석 조각 10개를 합쳐 1개의 하급 땅의 속성석을 제작 할 수 있는 조각
62201,Parts/Icon_FireStonePiece_01,하급 불의 속성석 조각,10,54201,1000,하급 불의 속성석 조각 10개를 합쳐 1개의 하급 불의 속성석을 제작 할 수 있는 조각
62301,Parts/Icon_WindStonePiece_01,하급 바람의 속성석 조각,10,54301,1000,하급 바람의 속성석 조각 10개를 합쳐 1개의 하급 바람의 속성석을 제작 할 수 있는 조각
62401,Parts/Icon_WaterStonePiece_01,하급 물의 속성석 조각,10,54401,1000,하급 물의 속성석 조각 10개를 합쳐 1개의 하급 물의 속성석을 제작 할 수 있는 조각
62102,Parts/Icon_EarthStonePiece_02,중급 땅의 속성석 조각,10,54102,10000,중급 땅의 속성석 조각 10개를 합쳐 1개의 중급 땅의 속성석을 제작 할 수 있는 조각
62202,Parts/Icon_FireStonePiece_02,중급 불의 속성석 조각,10,54202,10000,중급 불의 속성석 조각 10개를 합쳐 1개의 중급 불의 속성석을 제작 할 수 있는 조각
