Item_Use_ID,Item_Use_Icon,Item_Use_Name,Item_Use_Option,Item_Use_Option_Value,item_Use_Effect_Subject,Item_Use_Subject
51001,51001,하급 행동력 회복 물약,1,60,행동력 {0} 회복,
51002,51002,중급 행동력 회복 물약,1,120,행동력 {0} 회복,
51003,51003,상급 행동력 회복 물약,1,240,행동력 {0} 회복,
52001,52001,하급 경험치 책,2,300,경험치 {0} 습득,
52002,52002,중급 경험치 책,2,800,경험치 {0} 습득,
52003,52003,상급 경험치 책,2,2400,경험치 {0} 습득,
53001,53001,반복 전투 사용권,3,1,,
53002,53002,소환권 x1,4,1,,
53003,53003,소환권 x10,4,10,,
54001,54001,하급 땅의 속성석,5,0.1,,
54002,54002,하급 불의 속성석,5,0.1,,
54003,54003,하급 바람의 속성석,5,0.1,,
54004,54004,하급 물의 속성석,5,0.1,,
54005,54005,중급 땅의 속성석,5,0.2,,
54006,54006,중급 불의 속성석,5,0.2,,
54007,54007,중급 바람의 속성석,5,0.2,,
54008,54008,중급 물의 속성석,5,0.2,,
54009,54009,상급 땅의 속성석,5,0.3,,
54010,54010,상급 불의 속성석,5,0.3,,
54011,54011,상급 바람의 속성석,5,0.3,,
54012,54012,상급 물의 속성석,5,0.3,,
