Pass_Rwd_Grp,Pass_Rwd_index,Pass_Rwd_Point,Pass_Rwd_Normal_1,Pass_Rwd_Normal_Value_1,Pass_Rwd_Normal_2,Pass_Rwd_Normal_Value_2,Pass_Rwd_Ad_1,Pass_Rwd_Ad_Value_1,Pass_Rwd_Ad_2,Pass_Rwd_Ad_Value_2,Pass_Rwd_Special_1,Pass_Rwd_Special_Value_1,Pass_Rwd_Special_2,Pass_Rwd_Special_Value_2
1,1,100,1,2000,,,1,2000,,,0,10,,
1,2,100,53002,1,,,53002,1,,,0,10,,
1,3,100,52002,1,,,52002,2,,,0,10,,
1,4,100,51002,1,,,51002,1,,,0,10,,
1,5,100,0,30,,,0,50,,,0,20,,
1,6,100,1,2000,,,1,2000,,,0,10,,
1,7,100,53002,1,,,53002,1,,,0,10,,
1,8,100,52002,1,,,52002,2,,,0,10,,
1,9,100,51002,1,,,51002,1,,,0,10,,
1,10,100,0,30,,,0,50,,,0,20,,
1,11,100,1,2000,,,1,2000,,,0,10,,
1,12,100,53002,1,,,53002,1,,,0,10,,
1,13,100,52002,1,,,52002,2,,,0,10,,
1,14,100,51002,1,,,51002,1,,,0,10,,
1,15,100,0,30,,,0,50,,,0,20,,
1,16,100,1,2000,,,1,2000,,,0,10,,
1,17,100,53002,1,,,53002,1,,,0,10,,
1,18,100,52002,1,,,52002,2,,,0,10,,
1,19,100,51002,1,,,51002,1,,,0,10,,
1,20,100,0,30,,,0,50,,,0,20,,
1,21,100,1,2000,,,1,2000,,,0,10,,
1,22,100,53002,1,,,53002,1,,,0,10,,
1,23,100,52002,1,,,52002,2,,,0,10,,
1,24,100,51002,1,,,51002,1,,,0,10,,
1,25,100,0,30,,,0,50,,,0,20,,
1,26,100,1,2000,,,1,2000,,,0,10,,
1,27,100,53002,1,,,53002,1,,,0,10,,
1,28,100,52002,1,,,52002,2,,,0,10,,
1,29,100,51002,1,,,51002,1,,,0,10,,
1,30,100,0,30,,,0,50,,,0,20,,
1,31,100,1,2000,,,1,2000,,,0,10,,
1,32,100,53002,1,,,53002,1,,,0,10,,
1,33,100,52002,1,,,52002,2,,,0,10,,
1,34,100,51002,1,,,51002,1,,,0,10,,
1,35,100,0,30,,,0,50,,,0,20,,
1,36,100,1,2000,,,1,2000,,,0,10,,
1,37,100,53002,1,,,53002,1,,,0,10,,
1,38,100,52002,1,,,52002,2,,,0,10,,
1,39,100,51002,1,,,51002,1,,,0,10,,
1,40,100,0,50,53002,1,0,100,53002,1,0,50,,
