Quest_ID,Quest_Type,Quest_PassPoint,Quest_Description,Quest_Essential,Quest_Condition(0),Quest_Condition_Value,Quest_Rwd_Cash,Quest_Rwd_Gold,Quest_Rwd_Item_1,Quest_Rwd_Item_Value_1,Quest_Rwd_Item_2,Quest_Rwd_Item_Value_2
0,0,25,스테이지 [{0}]회 진행,0,0,1,,1000,,,,
1,0,25,뽑기 [{0}]회 진행,1,1,1,,1000,,,,
2,0,25,아무 던전 [{0}]회 진행,0,2,3,,1000,,,,
3,0,25,골드 던전 [{0}]회 진행,0,3,3,,1000,,,,
4,0,25,경험치 던전 [{0}]회 진행,0,4,3,,1000,,,,
5,0,25,장비 던전 [{0}]회 진행,0,5,3,,1000,,,,
6,0,25,속성 던전 [{0}]회 진행,0,6,3,,1000,,,,
7,0,25,행동력 [{0}]개 사용,0,7,50,,1000,,,,
8,0,25,일일상점 [{0}]개 구매,1,11,2,10,,,,,
9,0,0,일퀘 [{0}]개 완료,1,13,4,50,3000,,,,
10,1,50,스테이지 [{0}]회 진행,1,0,10,,5000,,,,
11,1,50,뽑기 [{0}]회 진행,0,1,10,,5000,,,,
12,1,50,아무 던전 [{0}]회 진행,0,2,20,,5000,,,,
13,1,50,골드 던전 [{0}]회 진행,0,3,10,,5000,,,,
14,1,50,경험치 던전 [{0}]회 진행,0,4,10,,5000,,,,
15,1,50,장비 던전 [{0}]회 진행,0,5,10,,5000,,,,
16,1,50,속성 던전 [{0}]회 진행,0,6,10,,5000,,,,
17,1,50,행동력 [{0}]개 사용,0,7,200,,5000,,,,
18,1,50,캐릭터 [{0}]레벨 업,0,8,90,,5000,,,,
19,1,50,장비 [{0}]개 판매,0,9,20,,5000,,,,
20,1,50,골드 [{0}]만 소모,0,10,30000,,5000,,,,
21,1,50,일일상점 [{0}]개 구매,0,11,20,,5000,,,,
22,1,50,장비 제작 [{0}]개,0,12,10,,5000,,,,
23,1,0,주간 퀘 [{0}]개 완료,1,14,5,150,10000,,,,
