Roulette_Index,Roulette_Rwd_Type,Roulette_Rwd_Value,Roulette_Rwd_Per
0,0,100,0.033025099
1,0,300,0.021459227
2,0,500,0.007153076
3,1,2000,0.035765379
4,1,5000,0.028612303
5,1,10000,0.014306152
6,50001,1,0.000715308
7,50002,1,0.000715308
8,50003,1,0.000715308
9,50004,1,0.000715308
10,50005,1,0.000715308
11,50006,1,0.000715308
12,50007,1,0.000715308
13,50008,1,0.000715308
14,50009,1,0.000715308
15,50010,1,0.000715308
16,50011,1,0.000715308
17,50012,1,0.000715308
18,50013,1,0.000715308
19,50014,1,0.000715308
20,50015,1,0.000715308
21,50016,1,0.000715308
22,50017,1,0.000715308
23,50018,1,0.000715308
24,50019,1,0.000715308
25,50020,1,0.000715308
26,50021,1,0.000715308
27,50022,1,0.000715308
28,50023,1,0.000715308
29,50024,1,0.000715308
30,50025,1,0.000715308
31,50026,1,0.000715308
32,50027,1,0.000715308
33,50028,1,0.000715308
34,50029,1,0.000715308
35,50030,1,0.000715308
36,50031,1,0.000715308
37,50032,1,0.000715308
38,50033,1,0.000715308
39,50034,1,0.000715308
40,50035,1,0.000715308
41,51001,2,0.021459227
42,51002,2,0.007153076
43,51003,2,0.001430615
44,52001,2,0.021459227
45,52002,2,0.007153076
46,52003,2,0.001430615
47,53001,5,0.007153076
48,53002,1,0.000715308
49,54001,2,0.028612303
50,54002,2,0.028612303
51,54003,2,0.028612303
52,54004,2,0.028612303
53,54005,2,0.014306152
54,54006,2,0.014306152
55,54007,2,0.014306152
56,54008,2,0.014306152
57,54009,2,0.003576538
58,54010,2,0.003576538
59,54011,2,0.003576538
60,54012,2,0.003576538
61,60001,5,0.035765379
62,60002,5,0.035765379
63,60003,5,0.035765379
64,60004,5,0.035765379
65,60005,5,0.021459227
66,60006,5,0.021459227
67,60007,5,0.021459227
68,60008,5,0.021459227
69,60009,5,0.007153076
70,60010,5,0.007153076
71,60011,5,0.007153076
72,60012,5,0.007153076
73,60013,6,0.035765379
74,60014,6,0.035765379
75,60015,6,0.035765379
76,60016,6,0.035765379
77,60017,4,0.021459227
78,60018,4,0.021459227
79,60019,4,0.021459227
80,60020,4,0.021459227
81,60021,2,0.007153076
82,60022,2,0.007153076
83,60023,2,0.007153076
84,60024,2,0.007153076
85,70001,1,0.002145923
86,70002,1,0.001430615
87,70003,1,0.000715308
88,70004,1,0.014306152
89,70005,1,0.007153076
90,70006,1,0.000715308
91,70007,1,0.014306152
92,70008,1,0.007153076
93,70009,1,0.000715308
94,70010,1,0.014306152
95,70011,1,0.007153076
96,70012,1,0.000715308
97,70013,1,0.014306152
98,70014,1,0.007153076
99,70015,1,0.000715308
100,70016,1,0.028612303
101,70017,1,0.014306152
102,70018,1,0.003576538
103,70019,1,0.003576538
104,70020,1,0.002145923
105,70021,1,0.000715308
