Shop_ID,Shop_Type,Shop_index,Shop_Name,Shop_image,Shop_Cost_Type,Shop_Cost_Value,Shop_Duration,Shop_Rwd_Grp,Shop_Count,Shop_Count_Free,Shop_Count_Ad,Shop_Count_Reset,Shop_Day_Start,Shop_Day_End,Shop_Link_Front,Shop_Link_Next,Shop_Descripsion
0,0,1,광고 제거권,Shop_AD_01,0,"6,900",30,0,1,0,0,30,2024-07-10,,,,광고를 제거하고 광고 보상 획득 가능
1,1,1,악마의 계약서,Shop_Month_01,0,10000,30,1,0,0,0,0,2024-07-10,,,,월 정액제 상품
2,1,2,용사의 계약서,Shop_Month_02,0,10000,30,2,0,0,0,0,2024-07-10,,,,월 정액제 상품
3,2,1,배틀패스,Shop_Pass_01,0,27000,30,3,1,0,0,30,2024-07-10,,,,배틀패스 스폐셜 보상 지급
4,3,1,악마 패키지,Shop_Package_01,1,2000,0,4,0,0,0,0,2024-07-10,2024-07-30,,,
5,3,2,속성 패키지,Shop_Package_02,1,2000,0,5,0,0,0,0,2024-07-10,2024-07-30,,,
6,3,3,성장 패키지,Shop_Package_03,1,2000,0,6,0,0,0,0,2024-07-10,2024-07-30,,,
7,4,1,데스나이트 패키지,Shop_Package_04,1,3000,0,7,0,0,0,0,2024-07-10,2024-07-30,,,
13,6,1,다이아 20개,Shop_Dia_01,0,0,0,,3,1,2,1,2024-07-10,,,,
14,6,2,다이아 300개,Shop_Dia_02,0,3000,0,,0,0,0,0,2024-07-10,,,,
15,6,3,다이아 1000개,Shop_Dia_03,0,10000,0,,0,0,0,0,2024-07-10,,,,
16,6,4,다이아 3000개,Shop_Dia_04,0,30000,0,,0,0,0,0,2024-07-10,,,,
17,6,5,다이아 5000개,Shop_Dia_05,0,50000,0,,0,0,0,0,2024-07-10,,,,
18,6,6,다이아 7000개,Shop_Dia_06,0,70000,0,,0,0,0,0,2024-07-10,,,,
19,7,1,골드 5000개 구매,Shop_Gold_01,1,5000,0,,3,1,2,1,2024-07-10,,,,
20,7,2,골드 10000개 구매,Shop_Gold_02,1,10000,0,,0,0,0,0,2024-07-10,,,,
21,7,3,골드 50000개 구매,Shop_Gold_03,1,50000,0,,0,0,0,0,2024-07-10,,,,
22,7,4,골드 100000개 구매,Shop_Gold_04,1,100000,0,,0,0,0,0,2024-07-10,,,,
23,7,5,골드 200000개 구매,Shop_Gold_05,1,200000,0,,0,0,0,0,2024-07-10,,,,
24,7,6,골드 500000개 구매,Shop_Gold_06,1,500000,0,,0,0,0,0,2024-07-10,,,,
25,8,1,행동력 60개 구매,Shop_item_01,1,100,0,,5,0,0,1,2024-07-10,,,,
26,8,2,소환권 구매,Shop_item_02,1,300,0,,10,0,1,1,2024-07-10,,,,
27,8,3,장비 상자 구매,Shop_item_03,1,200,0,,10,0,0,1,2024-07-10,,,,
28,8,4,속성 상자 구매,Shop_item_04,1,200,0,,10,0,0,1,2024-07-10,,,,
29,8,5,자동 전투권 구매,Shop_item_05,1,15,0,,10,0,0,1,2024-07-10,,,,
