Skill_Id,Name,CoolTime,Range,Scale_x,Scale_y,Duration,Stack,Effect_0,Status_0,Type_0,Grp_0,Target_0,Effect_1,Status_1,Type_1,Grp_1,Target_1,Effect_2,Status_2,Type_2,Grp_2,Target_2,Description
100011,Lv1 죽음과 부패,23,원형,8,8,10,,,1,0.2,,0,Effect_Heal,1,0.6,1,0,,,,,,"바닥 위 아군의 체력 [{0}] 만큼 회복
<{6}>에게 [{3}]초간 무적 효과 부여"
100012,Lv2 죽음과 부패,20,원형,8,8,11,,,1,0.3,,0,Effect_Heal,1,0.6,1,0,,1,0.1,,8,"바닥 위 아군의 체력 [{0}] 만큼 회
<{6}>에게 [{3}]초간 무적 효과 부여
바닥 위 적군에게 [{1}] 피해"
100013,Lv3 죽음과 부패,18,원형,8,8,12,,,1,0.5,,0,Effect_Heal,1,0.6,1,0,,1,0.15,,8,"바닥 위 아군의 체력 [{0}] 만큼 회복
<{6}>에게 [{3}]초간 무적 효과 부여
바닥 위 적군에게 [{1}] 피해"
100021,Lv1 냉기폭발,23,원형,4,4,0,,,1,6,,0,,1,0.5,,0,,,,,,"대상에게 [{0}] 피해
대상 주변 범위 적에게 [{1}] 피해"
100022,Lv2 냉기폭발,20,원형,4,4,0,,,1,6.6,,0,,1,0.7,,0,,4,0.1,,0,"대상에게 [{0}] 피해
대상 주변 범위 적에게 [{1}] 피해
피해를 입은 모든 적의 [{2}] 감소"
100023,Lv3 냉기폭발,18,원형,4,4,0,,,1,7,,0,,1,1,,0,,4,0.1,,0,"대상에게 [{0}] 피해
대상 주변 범위 적에게 [{1}] 피해
피해를 입은 모든 적의 [{2}] 감소"
100031,Lv1 내려치기,23,타겟,3,3,0,,,1,5,,0,,,,,,,,,,,대상에게 [{0}] 피해
100032,Lv2 내려치기,20,타겟,3,3,0,,,1,5.5,,0,,,,,,,,,,,대상에게 [{0}] 피해
100033,Lv3 내려치기,18,타겟,3,3,0,,,1,6,,0,,,,,,,,,,,대상에게 [{0}] 피해
100041,Lv1 강력한 한발!,23,관통형,2,50,0,,,1,5,,0,,,,,,,,,,,대상에게 [{0}] 피해
100042,Lv2 강력한 한발!,20,관통형,2,50,0,,,1,5.5,,0,,,,,,,,,,,대상에게 [{0}] 피해
100043,Lv3 강력한 한발!,18,관통형,2,50,0,,,1,6,,0,,,,,,,,,,,대상에게 [{0}] 피해
100051,Lv1 줄을 서라,23,직선형,6,4,0,,,1,3,,0,,1,2,,0,,,,,,"갈고리를 던질때 범위 내 적에게 [{0}] 피해를 주고, 갈고리를 당길때 적군을 자신에게 끌어당기며 [{1}] 피해를 준다."
100052,Lv2 줄을 서라,20,직선형,6,4,0,,,1,3,,0,,1,3,,0,,,,,,"갈고리를 던질때 범위 내 적에게 [{0}] 피해를 주고, 갈고리를 당길때 적군을 자신에게 끌어당기며 [{1}] 피해를 준다."
100053,Lv3 줄을 서라,18,직선형,6,4,0,,,1,3,,0,,1,4,,0,,,,,,"갈고리를 던질때 범위 내 적에게 [{0}] 피해를 주고, 갈고리를 당길때 적군을 자신에게 끌어당기며 [{1}] 피해를 준다."
100061,Lv1 워 크라이,23,원형,10,10,10,,,2,0.1,2,0,,4,0.1,2,0,,,,,,"함성을 질러 <{5}>에게 [{0}], [{1}]를 증가시킨다."
100062,Lv2 워 크라이,20,원형,10,10,10,,,2,0.15,2,0,,4,0.15,2,0,,,,,,"함성을 질러 <{5}>에게 [{0}], [{1}]를 증가시킨다."
100063,Lv3 워 크라이,18,원형,10,10,10,,,2,0.2,2,0,,4,0.2,2,0,,,,,,"함성을 질러 <{5}>에게 [{0}], [{1}]를 증가시킨다."
100071,Lv1 크게 한바퀴,23,원형,3,3,0,,,1,3,,0,,,,,,,,,,,주변 범위 내 모든 적군에게 [{0}] 피해
100072,Lv2 크게 한바퀴,20,원형,3,3,0,,,1,3.3,,0,,,,,,,,,,,주변 범위 내 모든 적군에게 [{0}] 피해
100073,Lv3 크게 한바퀴,18,원형,3,3,0,,,1,3.6,,0,,,,,,,,,,,주변 범위 내 모든 적군에게 [{0}] 피해
100081,Lv1 물어!,23,직선형,6,4,0,,,1,3,,0,,,,,,,,,,,전방으로 돌격해 대상 주위 모든 적군에게 [{0}] 피해
100082,Lv2 물어!,20,직선형,6,4,0,,,1,3.3,,0,,,,,,,,,,,전방으로 돌격해 대상 주위 모든 적군에게 [{0}] 피해
100083,Lv3 물어!,18,직선형,6,4,0,,,1,3.6,,0,,,,,,,,,,,전방으로 돌격해 대상 주위 모든 적군에게 [{0}] 피해
100091,Lv1 꿈에서 보자,23,타겟,2,2,10,,,1,5,,0,,1,0.1,3,0,,,,,,"현재 HP가 가장 낮은 아군의 HP를 [{0}]회복 시키며, 대상이 <{6}>일 경우 대상 주변 적군의 공격력을 [{1}] 감소 시킨다."
100092,Lv2 꿈에서 보자,20,타겟,2,2,10,,,1,6,,0,,1,0.15,3,0,,,,,,"현재 HP가 가장 낮은 아군의 HP를 [{0}]회복 시키며, 대상이 <{6}>일 경우 대상 주변 적군의 공격력을 [{1}] 감소 시킨다."
100093,Lv3 꿈에서 보자,18,타겟,2,2,10,,,1,7,,0,,1,0.2,3,0,,,,,,"현재 HP가 가장 낮은 아군의 HP를 [{0}]회복 시키며, 대상이 <{6}>일 경우 대상 주변 적군의 공격력을 [{1}] 감소 시킨다."
100101,Lv1 매혹,23,원형,1,1,5,,,,,,0,,,,,,,,,,,대상을 매혹시켜 ({3})초 동안 행동불가 상태로 만든다.
100102,Lv2 매혹,20,원형,1,1,7,,,,,,0,,,,,,,,,,,대상을 매혹시켜 ({3})초 동안 행동불가 상태로 만든다.
100103,Lv3 매혹,18,원형,1,1,10,,,,,,0,,,,,,,,,,,대상을 매혹시켜 ({3})초 동안 행동불가 상태로 만든다.
100111,Lv1 석화,23,부채꼴,90,3,3,,,,,,0,,,,,,,,,,,대상을 바라보며 안광을 쏘아 범위 내 적에게 ({0})초 동안 석화 마법을 건다.
100112,Lv2 석화,20,부채꼴,90,3,5,,,,,,0,,,,,,,,,,,대상을 바라보며 안광을 쏘아 범위 내 적에게 ({0})초 동안 석화 마법을 건다.
100113,Lv3 석화,18,부채꼴,90,3,7,,,,,,0,,,,,,,,,,,대상을 바라보며 안광을 쏘아 범위 내 적에게 ({0})초 동안 석화 마법을 건다.
100121,Lv1 반월각,23,직선형,6,5,0,,,1,3,,0,,,,,,,,,,,대상을 향해 강력한 기운을 날려 공격한다. 기운이 지나는 모든 적에게 [{0}] 피해를 입힌다.
100122,Lv2 반월각,20,직선형,6,5,0,,,1,4,,0,,,,,,,,,,,대상을 향해 강력한 기운을 날려 공격한다. 기운이 지나는 모든 적에게 [{0}] 피해를 입힌다.
100123,Lv3 반월각,18,직선형,6,5,0,,,1,5,,0,,,,,,,,,,,대상을 향해 강력한 기운을 날려 공격한다. 기운이 지나는 모든 적에게 [{0}] 피해를 입힌다.
100131,Lv1 파멸의 일격,23,원형,3,3,0,,,1,5,,0,,1,1,,0,,,,,,대상을 강하게 내리쳐 대상에게 [{0}] 피해를 주고 주변 적에게 [{1}] 피해를 준다.
100132,Lv2 파멸의 일격,20,원형,3,3,0,,,1,5.5,,0,,1,1.1,,0,,,,,,대상을 강하게 내리쳐 대상에게 [{0}] 피해를 주고 주변 적에게 [{1}] 피해를 준다.
100133,Lv3 파멸의 일격,18,원형,3,3,0,,,1,6,,0,,1,1.2,,0,,,,,,대상을 강하게 내리쳐 대상에게 [{0}] 피해를 주고 주변 적에게 [{1}] 피해를 준다.
100141,Lv1 구원,23,원형,5,5,0,,,0,0.2,,0,,,,,,,,,,,기운을 주변에 퍼트려 자신 주변 모든 아군의 [{0}]체력을 회복시킨다.
100142,Lv2 구원,20,원형,5,5,0,,,0,0.25,,0,,,,,,,,,,,기운을 주변에 퍼트려 자신 주변 모든 아군의 [{0}]체력을 회복시킨다.
100143,Lv3 구원,18,원형,5,5,0,,,0,0.3,,0,,,,,,,,,,,기운을 주변에 퍼트려 자신 주변 모든 아군의 [{0}]체력을 회복시킨다.
100151,Lv1 난사,23,원형,4,4,0,,,1,3,,0,,,,,,,,,,,수십개의 화살을 대상 위로 쏘아내 대상 주변에 [{0}]피해를 준다.
100152,Lv2 난사,20,원형,4,4,0,,,1,4,,0,,,,,,,,,,,수십개의 화살을 대상 위로 쏘아내 대상 주변에 [{0}]피해를 준다.
100153,Lv3 난사,18,원형,4,4,0,,,1,5,,0,,,,,,,,,,,수십개의 화살을 대상 위로 쏘아내 대상 주변에 [{0}]피해를 준다.
100161,Lv1 혈액 폭발,23,원형,6,6,0,,,0,0.3,,0,,,,,,,,,,,피를 끌어모아 폭발시켜 주변 적에게 [{0}]만큼 피해를 준다.
100162,Lv2 혈액 폭발,20,원형,6,6,0,,,0,0.4,,0,Effect_Heal,1,0.1,,,,,,,,"피를 끌어모아 폭발시켜 주변 적에게 [{0}]만큼 피해를 준다.
피해량의 [1}]만큼 자신의 체력을 회복한다."
100163,Lv3 혈액 폭발,18,원형,6,6,0,,,0,0.5,,0,Effect_Heal,1,0.1,,,,,,,,"피를 끌어모아 폭발시켜 주변 적에게 [{0}]만큼 피해를 준다.
피해량의 [1}]만큼 자신의 체력을 회복한다."
100171,Lv1 에라 모르겠다,23,원형,2,2,10,,,1,0.5,,0,,,,,,,,,,,"화염병을 주변에 던져 불바닥을 생성하며, 불바닥을 밟는 대상에세  [{0}]피해를 ({3})초 동안 입힌다."
100172,Lv2 에라 모르겠다,20,원형,2,2,10,,,1,0.6,,0,,,,,,,,,,,"화염병을 주변에 던져 불바닥을 생성하며, 불바닥을 밟는 대상에세  [{0}]피해를 ({3})초 동안 입힌다."
100173,Lv3 에라 모르겠다,18,원형,2,2,10,,,1,0.7,,0,,,,,,,,,,,"화염병을 주변에 던져 불바닥을 생성하며, 불바닥을 밟는 대상에세  [{0}]피해를 ({3})초 동안 입힌다."
100181,Lv1 명치찌르기,23,타겟,1,1,0,,,1,1,,0,,,,,,,,,,,빠르게 3번 공격해 대상에게 ({4})회당 [{0}] 피해를 입힌다.
100182,Lv2 명치찌르기,20,타겟,1,1,0,,,1,1.5,,0,,,,,,,,,,,빠르게 3번 공격해 대상에게 ({4})회당 [{0}] 피해를 입힌다.
100183,Lv3 명치찌르기,18,타겟,1,1,0,,,1,2,,0,,,,,,,,,,,빠르게 3번 공격해 대상에게 ({4})회당 [{0}] 피해를 입힌다.
100191,Lv1 코인 샤워,23,타겟,10,10,0,,,0,0.05,,0,,,,,,,,,,,주변 아군에게 동전을 던져 [{0}] 만큼 체력을 ({4})회 회복시킨다.
100192,Lv2 코인 샤워,20,타겟,10,10,0,,,0,0.07,,0,,,,,,,,,,,주변 아군에게 동전을 던져 [{0}] 만큼 체력을 ({4})회 회복시킨다.
100193,Lv3 코인 샤워,18,타겟,10,10,0,,,0,0.1,,0,,,,,,,,,,,주변 아군에게 동전을 던져 [{0}] 만큼 체력을 ({4})회 회복시킨다.
100201,Lv1 다발사격,23,타겟,30,30,10,,,1,1,6,0,,,,,,,,,,,<{0}> 아군의 공격속도를 ({3})초간 [{0}] 만큼 증가시킨다.
100202,Lv2 다발사격,20,타겟,30,30,10,,,1,2,6,0,,,,,,,,,,,<{0}> 아군의 공격속도를 ({3})초간 [{0}] 만큼 증가시킨다.
100203,Lv3 다발사격,18,타겟,30,30,10,,,1,3,6,0,,,,,,,,,,,<{0}> 아군의 공격속도를 ({3})초간 [{0}] 만큼 증가시킨다.
100211,Lv1 부스터,23,타겟,30,30,10,,,5,0.1,6,0,,1,5,,0,,,,,,"<0> 아군의 이동속도를 ({3})초간 [{0}] 증가시킨다.
대상에게 치명적인 공격을 가해 [{1}] 피해를 입힌다."
100212,Lv2 부스터,20,타겟,30,30,10,,,5,0.1,6,0,,1,6,,0,,,,,,"<0> 아군의 이동속도를 ({3})초간 [{0}] 증가시킨다.
대상에게 치명적인 공격을 가해 [{1}] 피해를 입힌다."
100213,Lv3 부스터,18,타겟,30,30,10,,,5,0.1,6,0,,1,7,,,,,,,,"<0> 아군의 이동속도를 ({3})초간 [{0}] 증가시킨다.
대상에게 치명적인 공격을 가해 [{1}] 피해를 입힌다."
100221,Lv1 식물성 꽃가루,23,원형,10,10,10,,,1,0.3,,0,,1,0.3,,0,,,,,,"공격할 때마다 [{0}]피해를 주며, {4}회 공격 할 때마다 주변 모든 적에게 ({3})초 동안 지속적으로 [{1}]의 피해를 입힌다."
100222,Lv2 식물성 꽃가루,20,원형,10,10,10,,,1,0.3,,0,,1,0.5,,0,,,,,,"공격할 때마다 [{0}]피해를 주며, {4}회 공격 할 때마다 주변 모든 적에게 ({3})초 동안 지속적으로 [{1}]의 피해를 입힌다."
100223,Lv3 식물성 꽃가루,18,원형,10,10,10,,,1,0.3,,0,,1,0.7,,0,,,,,,"공격할 때마다 [{0}]피해를 주며, {4}회 공격 할 때마다 주변 모든 적에게 ({3})초 동안 지속적으로 [{1}]의 피해를 입힌다."
100231,Lv1 펑!,15,원형,10,10,10,,Effect_10023_Self,1,0.3,,2,Effect_10023_Target,,,,,,,,,,모든 아군에게 자신의 액체를 붙여  [{0}]씩 HP를 ({3})초간 회복시킨다.
100232,Lv2 펑!,15,원형,10,10,10,,Effect_10023_Self,1,0.4,,2,Effect_10023_Target,0,0.1,7,0,,,,,,"모든 아군에게 자신의 액체를 붙여  [{0}]씩 HP를 ({3})초간 회복시킨다.
대상이 <{6}>일 경우 [{1}] 만큼 보호막을 생성한다."
100233,Lv3 펑!,15,원형,10,10,10,,Effect_10023_Self,1,0.5,,2,Effect_10023_Target,0,0.1,7,0,,,,,,"모든 아군에게 자신의 액체를 붙여  [{0}]씩 HP를 ({3})초간 회복시킨다.
대상이 <{6}>일 경우 [{1}] 만큼 보호막을 생성한다."
100241,Lv1 산성액,23,원형,3,3,10,,,0,0.1,,0,,,,,,,,,,,지속적으로 몸을 터트려 밤위 내 적군에게 자신의 [{0}] 만큼 ({3})초간 피해를 입힌다.
100242,Lv2 산성액,20,원형,3,3,10,,,0,0.1,,0,,,,,,,,,,,지속적으로 몸을 터트려 밤위 내 적군에게 자신의 [{0}] 만큼 ({3})초간 피해를 입힌다.
100243,Lv3 산성액,18,원형,3,3,10,,,0,0.1,,0,,,,,,,,,,,지속적으로 몸을 터트려 밤위 내 적군에게 자신의 [{0}] 만큼 ({3})초간 피해를 입힌다.
100251,Lv1 돌 보호막,23,원형,5,5,0,,,1,0.1,,0,,,,,,,,,,,주변 아군에게 돌덩이를 날려 [{0}]의 보호막을 씌운다.
100252,Lv2 돌 보호막,20,원형,5,5,0,,,1,0.2,,0,,,,,,,,,,,주변 아군에게 돌덩이를 날려 [{0}]의 보호막을 씌운다.
100253,Lv3 돌 보호막,18,원형,5,5,0,,,1,0.3,,0,,,,,,,,,,,주변 아군에게 돌덩이를 날려 [{0}]의 보호막을 씌운다.
100261,Lv1 단단해지기,23,타겟,1,1,0,,,1,0.15,,0,,,,,,,,,,,자신을 단단하게 만들어 [{0}]의 보호막을 생성한다.
100262,Lv2 단단해지기,20,타겟,1,1,0,,,1,0.2,,0,,,,,,,,,,,자신을 단단하게 만들어 [{0}]의 보호막을 생성한다.
100263,Lv3 단단해지기,18,타겟,1,1,0,,,1,0.3,,0,,,,,,,,,,,자신을 단단하게 만들어 [{0}]의 보호막을 생성한다.
100271,Lv1 사자후,23,부채꼴,90,6,7,,,1,3,,0,,1,0.1,8,0,,,,,,"범위 내 적군에게 [{0}] 피해를 입히며, 아군 <{6}>가 입히는 출혈 피해량을 [{1}] 만큼 ({3})초 동안 증가 시킨다."
100272,Lv2 사자후,20,부채꼴,90,6,7,,,1,4,,0,,1,0.1,8,0,,,,,,"범위 내 적군에게 [{0}] 피해를 입히며, 아군 <{6}>가 입히는 출혈 피해량을 [{1}] 만큼 ({3})초 동안 증가 시킨다."
100273,Lv3 사자후,18,부채꼴,90,6,7,,,1,5,,0,,1,0.1,8,0,,,,,,"범위 내 적군에게 [{0}] 피해를 입히며, 아군 <{6}>가 입히는 출혈 피해량을 [{1}] 만큼 ({3})초 동안 증가 시킨다."
100281,Lv1 크로우 엑스,23,직선형,6,3,10,,,1,2,,0,,1,0.1,,,,,,,,"대상에게 발톱을 세워 양손으로 [{0}]만큼의 피해를 2회 입힌다.
피해를 입은 대상에게 [{1}] 출혈 피해를 ({3})초 동안 입는다."
100282,Lv2 크로우 엑스,20,직선형,6,3,10,,,1,2.5,,0,,1,0.2,,,,,,,,"대상에게 발톱을 세워 양손으로 [{0}]만큼의 피해를 2회 입힌다.
피해를 입은 대상에게 [{1}] 출혈 피해를 ({3})초 동안 입는다."
100283,Lv3 크로우 엑스,18,직선형,6,3,10,,,1,3,,0,,1,0.15,,,,,,,,"대상에게 발톱을 세워 양손으로 [{0}]만큼의 피해를 2회 입힌다.
피해를 입은 대상에게 [{1}] 출혈 피해를 ({3})초 동안 입는다."
