Stage_index,Stage_Bg,Stage_Act,Stage_Time,Stage_Rwd_First,Stage_Rwd_First_Value,Stage_Rwd_Exp,Stage_Rwd_Gold_Min,Stage_Rwd_Gold_Max,Stage_Rwd_Item_Per,Stage_Rwd_Item_ID,Stage_Rwd_Item_Value,Stage_Mob_Wave
1,Maps/Map_01.prefab,10,60,0,10,200,100,500,0.5,300,1,1
2,Maps/Map_01.prefab,10,90,0,100,300,200,600,0.5,200,1,2
3,Maps/Map_01.prefab,10,120,0,500,400,300,700,0.5,100,1,3
4,Maps/Map_01.prefab,10,120,0,500,400,300,700,0.5,100,1,4
5,Maps/Map_01.prefab,10,120,0,500,400,300,700,0.5,100,1,5
6,Maps/Map_01.prefab,10,120,0,500,400,300,700,0.5,100,1,6
7,Maps/Map_01.prefab,10,120,0,500,400,300,700,0.5,100,1,7
8,Maps/Map_01.prefab,10,120,0,500,400,300,700,0.5,100,1,8
9,Maps/Map_01.prefab,10,120,0,500,400,300,700,0.5,100,1,9
10,Maps/Map_01.prefab,10,120,0,500,400,300,700,0.5,100,1,10
11,Maps/Map_02.prefab,10,60,0,10,200,100,500,0.5,300,1,1
12,Maps/Map_02.prefab,10,90,0,100,300,200,600,0.5,200,1,2
13,Maps/Map_02.prefab,10,120,0,500,400,300,700,0.5,100,1,3
14,Maps/Map_02.prefab,10,120,0,500,400,300,700,0.5,100,1,4
15,Maps/Map_02.prefab,10,120,0,500,400,300,700,0.5,100,1,5
16,Maps/Map_02.prefab,10,120,0,500,400,300,700,0.5,100,1,6
17,Maps/Map_02.prefab,10,120,0,500,400,300,700,0.5,100,1,7
18,Maps/Map_02.prefab,10,120,0,500,400,300,700,0.5,100,1,8
19,Maps/Map_02.prefab,10,120,0,500,400,300,700,0.5,100,1,9
20,Maps/Map_02.prefab,10,120,0,500,400,300,700,0.5,100,1,10
21,Maps/Map_03.prefab,10,60,0,10,200,100,500,0.5,300,1,1
22,Maps/Map_03.prefab,10,90,0,100,300,200,600,0.5,200,1,2
23,Maps/Map_03.prefab,10,120,0,500,400,300,700,0.5,100,1,3
24,Maps/Map_03.prefab,10,120,0,500,400,300,700,0.5,100,1,4
25,Maps/Map_03.prefab,10,120,0,500,400,300,700,0.5,100,1,5
26,Maps/Map_03.prefab,10,120,0,500,400,300,700,0.5,100,1,6
27,Maps/Map_03.prefab,10,120,0,500,400,300,700,0.5,100,1,7
28,Maps/Map_03.prefab,10,120,0,500,400,300,700,0.5,100,1,8
29,Maps/Map_03.prefab,10,120,0,500,400,300,700,0.5,100,1,9
30,Maps/Map_03.prefab,10,120,0,500,400,300,700,0.5,100,1,10
31,Maps/Map_04.prefab,10,60,0,10,200,100,500,0.5,300,1,1
32,Maps/Map_04.prefab,10,90,0,100,300,200,600,0.5,200,1,2
33,Maps/Map_04.prefab,10,120,0,500,400,300,700,0.5,100,1,3
34,Maps/Map_04.prefab,10,120,0,500,400,300,700,0.5,100,1,4
35,Maps/Map_04.prefab,10,120,0,500,400,300,700,0.5,100,1,5
36,Maps/Map_04.prefab,10,120,0,500,400,300,700,0.5,100,1,6
37,Maps/Map_04.prefab,10,120,0,500,400,300,700,0.5,100,1,7
38,Maps/Map_04.prefab,10,120,0,500,400,300,700,0.5,100,1,8
39,Maps/Map_04.prefab,10,120,0,500,400,300,700,0.5,100,1,9
40,Maps/Map_04.prefab,10,120,0,500,400,300,700,0.5,100,1,10
41,Maps/Map_05.prefab,10,60,0,10,200,100,500,0.5,300,1,1
42,Maps/Map_05.prefab,10,90,0,100,300,200,600,0.5,200,1,2
43,Maps/Map_05.prefab,10,120,0,500,400,300,700,0.5,100,1,3
44,Maps/Map_05.prefab,10,120,0,500,400,300,700,0.5,100,1,4
45,Maps/Map_05.prefab,10,120,0,500,400,300,700,0.5,100,1,5
46,Maps/Map_05.prefab,10,120,0,500,400,300,700,0.5,100,1,6
47,Maps/Map_05.prefab,10,120,0,500,400,300,700,0.5,100,1,7
48,Maps/Map_05.prefab,10,120,0,500,400,300,700,0.5,100,1,8
49,Maps/Map_05.prefab,10,120,0,500,400,300,700,0.5,100,1,9
50,Maps/Map_05.prefab,10,120,0,500,400,300,700,0.5,100,1,10
