Castle_Level,Castle_Sound_Hit,Castle_Gold,Castle_Slot,Castle_HP,Castle_Object_Value,Castle_Object_HP,Castle_Skill_1,Castle_Skill_Icon_1,Castle_Effect_1,Castle_Effect_Unit_1,Castle_Skill_Sound_1,Castle_Skill_Range_1,Castle_Skill_Time_1,Castle_Skill_Value_1,Castle_Skill_2,Castle_Skill_Icon_2,Castle_Effect_2,Castle_Effect_Unit_2,Castle_Skill_Sound_2,Castle_Skill_Range_2,Castle_Skill_Time_2,Castle_Skill_Value_2,Castle_Skill_3,Castle_Skill_Icon_3,Castle_Effect_3,Castle_Effect_Unit_3,Castle_Skill_Sound_3,Castle_Skill_Range_3,Castle_Skill_Time_3,Castle_Skill_Value_3,Castle_Skill_4,Castle_Skill_Icon_4,Castle_Effect_4,Castle_Effect_Unit_4,Castle_Skill_Sound_4,Castle_Skill_Range_4,Castle_Skill_Time_4,Castle_Skill_Value_4
1,Sound/Fx/Unit/FX_Skill_SL.mp3,1000,1,1000,0,1000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,100,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,100,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,500
2,Sound/Fx/Unit/FX_Skill_SL.mp3,1500,2,2000,0,3000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,110,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,110,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,520
3,Sound/Fx/Unit/FX_Skill_SL.mp3,2250,3,3000,0,5000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,120,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,120,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,540
4,Sound/Fx/Unit/FX_Skill_SL.mp3,3375,3,4000,0,7000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,130,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,130,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,560
5,Sound/Fx/Unit/FX_Skill_SL.mp3,4050,4,5000,0,9000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,140,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,140,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,580
6,Sound/Fx/Unit/FX_Skill_SL.mp3,4455,4,6000,0,11000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,150,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,150,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,600
7,Sound/Fx/Unit/FX_Skill_SL.mp3,4901,4,7000,0,13000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,160,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,160,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,620
8,Sound/Fx/Unit/FX_Skill_SL.mp3,5391,5,8000,0,15000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,170,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,170,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,640
9,Sound/Fx/Unit/FX_Skill_SL.mp3,5930,5,9000,0,17000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,180,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,180,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,660
10,Sound/Fx/Unit/FX_Skill_SL.mp3,8894,5,10000,2,19000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,190,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,190,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,680
