Daily_Grp_Index,Daily_Grp_Item_ID,Daily_Grp_Item_Value,Daily_Grp_Buy_Type,Daily_Grp_Buy_Value,Daily_Grp_Per
0,61001,3,2,300,0.152207002
1,61002,3,2,300,0.152207002
2,61003,3,2,300,0.152207002
3,61004,3,2,300,0.152207002
4,61005,3,2,300,0.152207002
5,61006,3,2,300,0.152207002
6,61007,3,2,300,0.152207002
7,61008,3,2,300,0.152207002
8,61009,3,2,300,0.152207002
9,61010,3,2,300,0.152207002
10,61011,3,2,300,0.152207002
11,61012,3,2,300,0.152207002
12,61013,3,2,300,0.152207002
13,61014,3,2,300,0.152207002
14,61015,3,2,300,0.152207002
15,61016,3,2,300,0.152207002
16,61017,3,2,300,0.152207002
17,61018,3,2,300,0.152207002
18,61019,3,2,300,0.152207002
19,61020,3,2,300,0.152207002
20,61021,3,2,300,0.152207002
21,61022,3,2,300,0.152207002
22,61023,3,2,300,0.152207002
23,61024,3,2,300,0.152207002
24,61025,3,2,300,0.152207002
25,61026,3,2,300,0.152207002
26,61027,3,2,300,0.152207002
27,61028,3,2,300,0.152207002
28,61029,3,2,300,0.152207002
29,61030,3,2,300,0.152207002
30,61031,3,2,300,0.152207002
31,61032,3,2,300,0.152207002
32,61033,3,2,300,0.152207002
33,61034,3,2,300,0.152207002
34,61035,3,2,300,0.152207002
35,51001,2,3,3000,4.566210046
36,51002,2,3,10000,2.283105023
37,51003,2,2,300,0.152207002
38,52001,10,3,3000,4.566210046
39,52002,10,2,10000,2.283105023
40,52003,5,2,300,0.152207002
41,53001,10,3,30000,2.283105023
42,54101,3,2,100,3.04414003
43,54201,3,2,100,3.04414003
44,54301,3,2,100,3.04414003
45,54401,3,2,100,3.04414003
46,54102,2,2,150,1.522070015
47,54202,2,2,150,1.522070015
48,54302,2,2,150,1.522070015
49,54402,2,2,150,1.522070015
50,54103,1,2,200,0.152207002
51,54203,1,2,200,0.152207002
52,54303,1,2,200,0.152207002
53,54403,1,2,200,0.152207002
54,62101,10,3,3000,4.566210046
55,62102,10,3,3000,4.566210046
56,62103,10,3,3000,4.566210046
57,62104,10,3,3000,4.566210046
58,62201,10,3,10000,2.283105023
59,62202,10,3,10000,2.283105023
60,62203,10,3,10000,2.283105023
61,62204,10,3,10000,2.283105023
62,62301,5,2,100,0.456621005
63,62302,5,2,100,0.456621005
64,62303,5,2,100,0.456621005
65,62304,5,2,100,0.456621005
66,63101,10,3,3000,3.805175038
67,63102,10,3,3000,3.805175038
68,63103,10,3,3000,3.805175038
69,63104,5,3,10000,3.805175038
70,63201,5,3,10000,2.435312024
71,63202,5,3,10000,2.435312024
72,63203,5,3,10000,2.435312024
73,63204,3,2,150,2.435312024
74,63301,3,2,150,0.152207002
75,63302,3,2,150,0.152207002
76,63303,3,2,150,0.152207002
77,63304,1,2,300,0.152207002
78,70016,1,2,50,3.04414003
79,70017,1,2,100,1.522070015
80,70018,1,2,200,0.152207002
