Dg_index,Dg_Image,Dg_Bg,Dg_Sound,Dg_Name,Dg_Type,Dg_Act,Dg_Time,Dg_Week,Dg_Lv,Dg_Rwd_Gold_Min,Dg_Rwd_Gold_Max,Dg_Rwd_Item_Grp_ID,Dg_Mob_Wave,Dg_Comment,Dg_ClearCondition_1,Dg_ClearCondition_2,Dg_ClearCondition_3
1,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,1,1000,2000,,90001,,0,1,
2,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,2,2100,3000,,90002,,0,1,
3,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,3,2800,4000,,90003,,0,1,
4,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,4,3500,5000,,90004,,0,1,
5,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,5,4200,6000,1,90005,,0,1,
6,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,6,4900,7000,2,90006,,0,1,
7,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,7,5600,8000,3,90007,,0,1,
8,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,8,6300,9000,4,90008,,0,1,
9,Common/DungeonBanner/Banner_Dungeon_GoldMine.png,Maps/Map_05.prefab,Sound/Bgm/BGM_05.mp3,광산 습격,0,15,180,1,9,7000,10000,5,90009,,0,1,
11,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,1,700,1000,6,90010,,0,1,
12,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,2,1050,1500,7,90011,,0,1,
13,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,3,1400,2000,8,90012,,0,1,
14,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,4,1750,2500,9,90013,,0,1,
15,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,5,2100,3000,10,90014,,0,1,
16,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,6,2450,3500,11,90015,,0,1,
17,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,7,2800,4000,12,90016,,0,1,
18,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,8,3150,4500,13,90017,,0,1,
19,Common/DungeonBanner/Banner_Dungeon_Carriage.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,짐마차 지키기,1,15,180,0,9,3500,5000,14,90018,,0,1,
21,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,1,700,1000,15,90019,,2,,
22,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,2,1050,1500,16,90020,,2,,
23,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,3,1400,2000,17,90021,,2,,
24,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,4,1750,2500,18,90022,,2,,
25,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,5,2100,3000,19,90023,,2,,
26,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,6,2450,3500,20,90024,,2,,
27,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,7,2800,4000,21,90025,,2,,
28,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,8,3150,4500,22,90026,,2,,
29,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,집행자 보스 레이드,2,15,300,2,9,3500,5000,23,90027,,2,,
31,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,1,700,1000,24,90028,,2,,
32,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,2,1050,1500,25,90029,,2,,
