Equip_Class,Equip_Status,Equip_Status_Main_Min,Equip_Status_Main_Max,Equip_Status_Sub_Min,Equip_Status_Sub_Max
0,0,10000,15000,1500,2500
0,1,300,350,45,75
0,2,0.3,0.5,0.045,0.075
0,3,0.5,1.5,0.075,0.125
0,4,0.05,0.2,0.0075,0.0125
0,5,0.05,0.2,0.0075,0.0125
0,6,0.1,2,0.015,0.025
0,7,0.5,1,0.075,0.125
1,0,6000,9000,900,1500
1,1,180,210,27,45
1,2,0.18,0.3,0.027,0.045
1,3,0.3,0.9,0.045,0.075
1,4,0.03,0.12,0.0045,0.0075
1,5,0.03,0.12,0.0045,0.0075
1,6,0.06,1.2,0.009,0.015
1,7,0.3,0.6,0.045,0.075
2,0,3600,5400,540,900
2,1,108,126,16.2,27
2,2,0.108,0.18,0.0162,0.027
2,3,0.18,0.54,0.027,0.045
2,4,0.018,0.072,0.0027,0.0045
2,5,0.018,0.072,0.0027,0.0045
2,6,0.036,0.72,0.0054,0.009
2,7,0.18,0.36,0.027,0.045
3,0,2160,3240,324,540
3,1,64.8,75.6,9.72,16.2
3,2,0.0648,0.108,0.00972,0.0162
3,3,0.108,0.324,0.0162,0.027
3,4,0.0108,0.0432,0.00162,0.0027
3,5,0.0108,0.0432,0.00162,0.0027
3,6,0.0216,0.432,0.00324,0.0054
3,7,0.108,0.216,0.0162,0.027
