Item_Equip_ID,Item_Equip_Icon,Item_Equip_Name,Item_Equip_Class,Item_Equip_Slot,Item_Equip_Set,Item_Equip_Set_Type_1,Item_Equip_Set_Value_1,Item_Equip_Set_Type_2,Item_Equip_Set_Value_2,Item_Equip_Set_Type_3,Item_Equip_Set_Value_3,Item_Equip_Sell,Item_Equip_Subject
30001,30001,대검,3,0,,,,,,,,100,조잡ㅎ
30002,30002,판금갑옷,3,1,,,,,,,,100,
30003,30003,루비 반지,3,2,,,,,,,,100,
30004,30004,루비 목걸이,3,3,,,,,,,,100,
30005,30005,도끼,3,0,,,,,,,,100,
30006,30006,사슬조끼,3,1,,,,,,,,100,
30007,30007,사파이어 반지,3,2,,,,,,,,100,
30008,30008,사파이어 목걸이,3,3,,,,,,,,100,
30009,30009,단검,3,0,,,,,,,,100,
30010,30010,가죽 갑옷,3,1,,,,,,,,100,
30011,30011,토파즈 반지,3,2,,,,,,,,100,
30012,30012,토파즈 목걸이,3,3,,,,,,,,100,
30013,30013,지팡이,3,0,,,,,,,,100,
30014,30014,천 갑옷,3,1,,,,,,,,100,
30015,30015,에메랄드 반지,3,2,,,,,,,,100,
30016,30016,에메랄드 목걸이,3,3,,,,,,,,100,
20001,20001,기사의 대검,2,0,집행,치명타율 증가,0.1,,,,,1000,
20002,20002,기사의 판금갑옷,2,1,집행,치명타율 증가,0.1,,,,,1000,
20003,20003,기사의 반지,2,2,집행,치명타율 증가,0.1,,,,,1000,
20004,20004,기사의 목걸이,2,3,집행,치명타율 증가,0.1,,,,,1000,
20005,20005,전사의 도끼,2,0,도살,공격속도 증가,0.05,,,,,1000,
20006,20006,전사의 사슬갑옷,2,1,도살,공격속도 증가,0.05,,,,,1000,
20007,20007,전사의 반지,2,2,도살,공격속도 증가,0.05,,,,,1000,
20008,20008,전사의 목걸이,2,3,도살,공격속도 증가,0.05,,,,,1000,
20009,20009,암살자의 단검,2,0,응징,HP증가,0.1,,,,,1000,
20010,20010,암살자의 가죽갑옷,2,1,응징,HP증가,0.1,,,,,1000,
