Item_Parts_ID,Item_Parts_Icon,Item_Parts_Name,Item_Parts_Combine,Item_Parts_Gain_1,Item_Parts_Sell,Item_Parts_Subject
60001,60001,데스나이트의 영혼,10,10001,,중복 소환된 데스나이트의 영혼. 데스나이트를 승급 시키는데 사용.
60002,60002,리치의 영혼,10,10002,,중복 소환된 리치의 영혼. 리치를 승급 시키는데 사용.
60003,60003,해골병사의 영혼,10,10003,,중복 소환된 해골병사의 영혼. 해골병사를 승급 시키는데 사용.
60004,60004,해골궁수의 영혼,10,10004,,중복 소환된 해골궁수의 영혼. 해골궁수를 승급 시키는데 사용.
60005,60005,누더기 골렘의 영혼,10,10005,,중복 소환된 누더기 골렘의 영혼. 누더기 골렘을 승급 시키는데 사용.
60006,60006,오크로드의 영혼,10,10006,,중복 소환된 오크로드의 영혼. 오크로드를 승급 시키는데 사용.
60007,60007,오크 전사의 영혼,10,10007,,중복 소환된 오크 전사의 영혼. 오크 전사를 승급 시키는데 사용.
60008,60008,오크 라이더의 영혼,10,10008,,중복 소환된 오크 라이더의 영혼. 오크 라이더를 승급 시키는데 사용.
60009,60009,서큐버스 퀸의 영혼,10,10009,,중복 소환된 서큐버스 퀸의 영혼. 서큐버스 퀸을 승급 시키는데 사용.
60010,60010,서큐버스의 영혼,10,10010,,중복 소환된 서큐버스의 영혼. 서큐버스를 승급 시키는데 사용.
60011,60011,비홀더의 영혼,10,10011,,중복 소환된 비홀더의 영혼. 비홀더를 승급 시키는데 사용.
60012,60012,인큐버스의 영혼,10,10012,,중복 소환된 인큐버스의 영혼. 인큐버스를 승급 시키는데 사용.
60013,60013,발록의 영혼,10,10013,,중복 소환된 발록의 영혼. 발록을 승급 시키는데 사용.
60014,60014,바포메트의 영혼,10,10014,,중복 소환된 바포메트의 영혼. 바포메트를 승급 시키는데 사용.
60015,60015,아수라의 영혼,10,10015,,중복 소환된 아수라의 영혼. 아수라를 승급 시키는데 사용.
60016,60016,뱀파이어의 영혼,10,10016,,중복 소환된 뱀파이어의 영혼. 뱀파이어를 승급 시키는데 사용.
60017,60017,폭탄고블린의 영혼,10,10017,,중복 소환된 폭탄고블린의 영혼. 폭탄고블린을 승급 시키는데 사용.
60018,60018,고블린의 영혼,10,10018,,중복 소환된 고블린의 영혼. 고블린을 승급 시키는데 사용.
60019,60019,보물고블린의 영혼,10,10019,,중복 소환된 보물고블린의 영혼. 보물고블린을 승급 시키는데 사용.
60020,60020,순찰대장의 영혼,10,10020,,중복 소환된 순찰대장의 영혼. 순찰대장을 승급 시키는데 사용.
60021,60021,암살자의 영혼,10,10021,,중복 소환된 암살자의 영혼. 암살자를 승급 시키는데 사용.
60022,60022,맨드레이크의 영혼,10,10022,,중복 소환된 맨드레이크의 영혼. 맨드레이크를 승급 시키는데 사용.
60023,60023,슬라임킹의 영혼,10,10023,,중복 소환된 슬라임킹의 영혼. 슬라임킹을 승급 시키는데 사용.
60024,60024,슬라임의 영혼,10,10024,,중복 소환된 슬라임의 영혼. 슬라임을 승급 시키는데 사용.
60025,60025,돌골렘의 영혼,10,10025,,중복 소환된 돌골렘의 영혼. 돌골렘을 승급 시키는데 사용.
60026,60026,미믹의 영혼,10,10026,,중복 소환된 미믹의 영혼. 미믹을 승급 시키는데 사용.
60027,60027,송곳니의 영혼,10,10027,,중복 소환된 송곳니의 영혼. 송곳니를 승급 시키는데 사용.
60028,60028,늑대인간의 영혼,10,10028,,중복 소환된 늑대인간의 영혼. 늑대인간을 승급 시키는데 사용.
60029,60029,놀 전사의 영혼,10,10029,,중복 소환된 놀 전사의 영혼. 놀 전사를 승급 시키는데 사용.
60030,60030,놀 궁수의 영혼,10,10030,,중복 소환된 놀 궁수의 영혼. 놀 궁수를 승급 시키는데 사용.
60031,60031,사이클롭스의 영혼,10,10031,,중복 소환된 사이클롭스의 영혼. 사이클롭스를 승급 시키는데 사용.
60032,60032,오우거의 영혼,10,10032,,중복 소환된 오우거의 영혼. 오우거를 승급 시키는데 사용.
60033,60033,하피퀸의 영혼,10,10033,,중복 소환된 하피퀸의 영혼. 하피퀸을 승급 시키는데 사용.
60034,60034,하피의 영혼,10,10034,,중복 소환된 하피의 영혼. 하피를 승급 시키는데 사용.
60035,60035,까마귀의 영혼,10,10035,,중복 소환된 까마귀의 영혼. 까마귀를 승급 시키는데 사용.
60036,60036,하급 땅의 속성석 조각,10,54001,1000,하급 땅의 속성석 조각 10개를 합쳐 1개의 하급 땅의 속성석을 제작 할 수 있는 조각
60037,60037,하급 불의 속성석 조각,10,54002,1000,하급 불의 속성석 조각 10개를 합쳐 1개의 하급 불의 속성석을 제작 할 수 있는 조각
60038,60038,하급 바람의 속성석 조각,10,54003,1000,하급 바람의 속성석 조각 10개를 합쳐 1개의 하급 바람의 속성석을 제작 할 수 있는 조각
