Item_Use_ID,Item_Use_Icon,,Item_Use_Name,Item_Use_Option,Item_Use_Option_Value,item_Use_Effect_Subject,Item_Use_Subject
51001,Use/Icon_StaminaPotion_01,Icon_StaminaPotion_01,하급 행동력 회복 물약,1,60,행동력 {0} 회복,사용 후 행동력을 즉시 회복합니다.
51002,Use/Icon_StaminaPotion_02,Icon_StaminaPotion_02,중급 행동력 회복 물약,1,120,행동력 {0} 회복,사용 후 행동력을 즉시 회복합니다.
51003,Use/Icon_StaminaPotion_03,Icon_StaminaPotion_03,상급 행동력 회복 물약,1,240,행동력 {0} 회복,사용 후 행동력을 즉시 회복합니다.
52001,Use/Icon_EXPBook_01,Icon_EXPBook_01,하급 경험치 책,2,500,경험치 {0} 습득,사용 후 악마의 경험치가 증가 합니다.
52002,Use/Icon_EXPBook_02,Icon_EXPBook_02,중급 경험치 책,2,2000,경험치 {0} 습득,사용 후 악마의 경험치가 증가 합니다.
52003,Use/Icon_EXPBook_03,Icon_EXPBook_03,상급 경험치 책,2,8000,경험치 {0} 습득,사용 후 악마의 경험치가 증가 합니다.
53001,Use/Icon_AutoPlay,Icon_AutoPlay,반복 전투 사용권,3,1,반복 전투 {0}회 사용,반복 전투 기능 사용 시 필요한 사용권
53002,Use/Icon_CharacterSummon_01,Icon_CharacterSummon_01,소환권 x1,4,1,,악마를 소환할 수 있는 영혼이 담긴 보석으로 소환에서 사용할 수 있다.
53003,Use/Icon_CharacterSummon_02,Icon_CharacterSummon_02,소환권 x10,4,10,,악마를 소환할 수 있는 영혼이 다수 담긴 보석으로 소환에서 사용할 수 있다.
54101,Use/Icon_EarthStone_01,Icon_EarthStone_01,하급 땅의 속성석,5,0.1,땅 속성 {0} 부여,무기나 방어구에 땅 속성을 부여할 수 있는 속성석
54201,Use/Icon_FireStone_01,Icon_FireStone_01,하급 불의 속성석,5,0.1,불 속성 {0} 부여,무기나 방어구에 불 속성을 부여할 수 있는 속성석
54301,Use/Icon_WindStone_01,Icon_WindStone_01,하급 바람의 속성석,5,0.1,바람 속성 {0} 부여,무기나 방어구에 바람 속성을 부여할 수 있는 속성석
54401,Use/Icon_WaterStone_01,Icon_WaterStone_01,하급 물의 속성석,5,0.1,물 속성 {0} 부여,무기나 방어구에 물 속성을 부여할 수 있는 속성석
54102,Use/Icon_EarthStone_02,Icon_EarthStone_02,중급 땅의 속성석,5,0.2,땅 속성 {0} 부여,무기나 방어구에 땅 속성을 부여할 수 있는 속성석
54202,Use/Icon_FireStone_02,Icon_FireStone_02,중급 불의 속성석,5,0.2,불 속성 {0} 부여,무기나 방어구에 불 속성을 부여할 수 있는 속성석
54302,Use/Icon_WindStone_02,Icon_WindStone_02,중급 바람의 속성석,5,0.2,바람 속성 {0} 부여,무기나 방어구에 바람 속성을 부여할 수 있는 속성석
54402,Use/Icon_WaterStone_02,Icon_WaterStone_02,중급 물의 속성석,5,0.2,물 속성 {0} 부여,무기나 방어구에 물 속성을 부여할 수 있는 속성석
54103,Use/Icon_EarthStone_03,Icon_EarthStone_03,상급 땅의 속성석,5,0.3,땅 속성 {0} 부여,무기나 방어구에 땅 속성을 부여할 수 있는 속성석
54203,Use/Icon_FireStone_03,Icon_FireStone_03,상급 불의 속성석,5,0.3,불 속성 {0} 부여,무기나 방어구에 불 속성을 부여할 수 있는 속성석
54303,Use/Icon_WindStone_03,Icon_WindStone_03,상급 바람의 속성석,5,0.3,바람 속성 {0} 부여,무기나 방어구에 바람 속성을 부여할 수 있는 속성석
54403,Use/Icon_WaterStone_03,Icon_WaterStone_03,상급 물의 속성석,5,0.3,물 속성 {0} 부여,무기나 방어구에 물 속성을 부여할 수 있는 속성석
