Lv,Exp,Gold
1,200,100
2,3228,20301
3,6257,40502
4,9285,60703
5,12313,80904
6,15341,101105
7,18370,121306
8,21398,141507
9,24426,161708
10,27455,181909
11,30483,202110
12,33511,222311
13,36539,242512
14,39568,262713
15,42596,282914
16,45624,303115
17,48653,323316
18,51681,343517
19,54709,363718
20,57737,383919
21,60766,404120
22,63794,424321
23,66822,444522
24,69851,464723
25,72879,484924
26,75907,505125
27,78935,525326
28,81964,545527
29,84992,565728
30,88020,585929
31,91048,606130
32,94077,626331
33,97105,646532
34,100133,666733
35,103162,686934
36,106190,707135
37,109218,727336
38,112246,747537
39,115275,767738
40,118303,787939
41,121331,808140
42,124360,828341
43,127388,848542
44,130416,868743
45,133444,888944
46,136473,909145
47,139501,929346
48,142529,949547
49,145558,969748
50,148586,989949
51,151614,1010151
52,154642,1030352
53,157671,1050553
54,160699,1070754
55,163727,1090955
56,166756,1111156
57,169784,1131357
58,172812,1151558
59,175840,1171759
60,178869,1191960
61,181897,1212161
62,184925,1232362
63,187954,1252563
64,190982,1272764
65,194010,1292965
66,197038,1313166
67,200067,1333367
68,203095,1353568
69,206123,1373769
70,209152,1393970
71,212180,1414171
72,215208,1434372
73,218236,1454573
74,221265,1474774
75,224293,1494975
76,227321,1515176
77,230349,1535377
78,233378,1555578
79,236406,1575779
80,239434,1595980
81,242463,1616181
82,245491,1636382
83,248519,1656583
84,251547,1676784
85,254576,1696985
86,257604,1717186
87,260632,1737387
88,263661,1757588
89,266689,1777789
90,269717,1797990
91,272745,1818191
92,275774,1838392
93,278802,1858593
94,281830,1878794
95,284859,1898995
96,287887,1919196
97,290915,1939397
98,293943,1959598
99,296972,1979799
100,300000,2000000
