Roulette_Index,Roulette_Rwd_Type,Roulette_Rwd_Value,Roulette_Rwd_Per
0,2,100,0.033025099
1,2,300,0.021459227
2,2,500,0.007153076
3,3,2000,0.035765379
4,3,5000,0.028612303
5,3,10000,0.014306152
6,61001,1,0.000715308
7,61002,1,0.000715308
8,61003,1,0.000715308
9,61004,1,0.000715308
10,61005,1,0.000715308
11,61006,1,0.000715308
12,61007,1,0.000715308
13,61008,1,0.000715308
14,61009,1,0.000715308
15,61010,1,0.000715308
16,61011,1,0.000715308
17,61012,1,0.000715308
18,61013,1,0.000715308
19,61014,1,0.000715308
20,61015,1,0.000715308
21,61016,1,0.000715308
22,61017,1,0.000715308
23,61018,1,0.000715308
24,61019,1,0.000715308
25,61020,1,0.000715308
26,61021,1,0.000715308
27,61022,1,0.000715308
28,61023,1,0.000715308
29,61024,1,0.000715308
30,61025,1,0.000715308
31,61026,1,0.000715308
32,61027,1,0.000715308
33,61028,1,0.000715308
34,61029,1,0.000715308
35,61030,1,0.000715308
36,61031,1,0.000715308
37,61032,1,0.000715308
38,61033,1,0.000715308
39,61034,1,0.000715308
40,61035,1,0.000715308
41,51001,2,0.021459227
42,51002,2,0.007153076
43,51003,2,0.001430615
44,52001,2,0.021459227
45,52002,2,0.007153076
46,52003,2,0.001430615
47,53001,5,0.007153076
48,53002,1,0.000715308
49,54101,2,0.028612303
50,54201,2,0.028612303
51,54301,2,0.028612303
52,54401,2,0.028612303
53,54102,2,0.014306152
54,54202,2,0.014306152
55,54302,2,0.014306152
56,54402,2,0.014306152
57,54103,2,0.003576538
58,54203,2,0.003576538
59,54303,2,0.003576538
60,54403,2,0.003576538
61,62101,5,0.035765379
62,62201,5,0.035765379
63,62301,5,0.035765379
64,62401,5,0.035765379
65,62102,5,0.021459227
66,62202,5,0.021459227
67,62302,5,0.021459227
68,62402,5,0.021459227
69,62103,5,0.007153076
70,62203,5,0.007153076
71,62303,5,0.007153076
72,62403,5,0.007153076
73,63101,6,0.035765379
74,63102,6,0.035765379
75,63103,6,0.035765379
76,63104,6,0.035765379
77,63201,4,0.021459227
78,63202,4,0.021459227
79,63203,4,0.021459227
80,63204,4,0.021459227
81,63301,2,0.007153076
82,63302,2,0.007153076
83,63303,2,0.007153076
84,63304,2,0.007153076
85,70001,1,0.002145923
86,70002,1,0.001430615
87,70003,1,0.000715308
88,70004,1,0.014306152
89,70005,1,0.007153076
90,70006,1,0.000715308
91,70007,1,0.014306152
92,70008,1,0.007153076
93,70009,1,0.000715308
94,70010,1,0.014306152
95,70011,1,0.007153076
96,70012,1,0.000715308
97,70013,1,0.014306152
98,70014,1,0.007153076
99,70015,1,0.000715308
100,70016,1,0.028612303
101,70017,1,0.014306152
102,70018,1,0.003576538
103,70019,1,0.003576538
104,70020,1,0.002145923
105,70021,1,0.000715308
