Shop_Rwd_Grp_ID,Shop_Rwd_Grp_Type_1,Shop_Rwd_Grp_Value_1,Shop_Rwd_Grp_Type_2,Shop_Rwd_Grp_Value_2,Shop_Rwd_Grp_Type_3,Shop_Rwd_Grp_Value_3,Shop_Rwd_Grp_Type_4,Shop_Rwd_Grp_Value_4
0,1001,1,,,,,,
1,2,30,53001,10,,,,
2,2,100,51001,1,,,,
3,2001,1,,,,,,
4,2,1000,53001,3,70015,3,,
5,2,1000,70012,3,70015,3,,
6,2,1000,70009,3,70006,3,3,10000
7,10001,1,2,500,53001,3,70006,3
8,1,50,,,,,,
9,1,300,,,,,,
10,1,1000,,,,,,
11,1,3000,,,,,,
12,1,5000,,,,,,
13,1,10000,,,,,,
14,3,1100,,,,,,
15,3,5500,,,,,,
16,3,11000,,,,,,
17,3,110000,,,,,,
18,3,550000,,,,,,
19,3,1100000,,,,,,
20,51001,1,,,,,,
21,53002,1,,,,,,
22,70014,1,,,,,,
23,70011,1,,,,,,
24,53001,1,,,,,,
