Shop_ID,Shop_Type,Shop_index,Shop_Name,Shop_Prefab,Shop_Cost_Type,Shop_Cost_Value,Shop_Duration,Shop_Rwd_Grp,Shop_Count,Shop_Count_Free,Shop_Count_Ad,Shop_Count_Reset,Shop_Day_Start,Shop_Day_End,Shop_Link_Front,Shop_Link_Next,Shop_Descripsion
0,0,1,광고 제거권,Shop/Prefabs/Product/Product_AdRemove.prefab,0,"6,900",30,0,1,0,0,30,2024-08-10,,,,광고 시청 없이 광고 보상을 획득할 수 있는 상품
1,1,1,악마의 계약서,Shop/Prefabs/Product/Product_Contract_Demon.prefab,0,10000,30,1,0,0,0,0,2024-08-10,,,,마왕의 권한으로 악마와 계약할 수 있는 계약서. 누적 다이아 900 지급
2,1,2,용사의 계약서,Shop/Prefabs/Product/Product_Contract_Hero.prefab,0,10000,30,2,0,0,0,0,2024-08-10,,,,"용사와 서로의 이득을 위해 비밀리에 진행한 계약서. 다이아 300, 행동력 1800 획득"
3,2,1,배틀패스,Shop/Prefabs/Product/Product_BattlePass.prefab,0,27000,30,3,1,0,0,30,2024-08-10,,,,마왕이 업적을 세울 때마다 기록한 
4,3,1,악마 패키지,Shop/Prefabs/Product/Product_Package_Demon.prefab,1,2000,0,4,0,0,0,0,2024-08-10,2024-12-30,,,악마들이 전투를 치를 수 있도록 지원하는 패키지
5,3,2,속성 패키지,Shop/Prefabs/Product/Product_Package_Elemental.prefab,1,2000,0,5,0,0,0,0,2024-08-10,2024-12-30,,,정령의 힘을 악마들이 사용할 수 있도록 제작된 패키지
6,3,3,성장 패키지,Shop/Prefabs/Product/Product_Package_Stature.prefab,1,2000,0,6,0,0,0,0,2024-08-10,2024-12-30,,,악마를 성장시키기 위한 패키지
7,4,1,데스나이트 패키지,Shop/Prefabs/Product/Product_Package_DeathKnight.prefab,1,3000,0,7,0,0,0,0,2024-08-10,2024-12-30,,,가장 강력하게 타오르는 불꽃을 모아 악마를 소환합니다.
13,6,1,다이아 50개 구매,Shop/Prefabs/Product/Product_Diamond_300.prefab,0,0,0,8,3,1,2,1,2024-08-10,,,,
14,6,2,다이아 300개 구매,Shop/Prefabs/Product/Product_Diamond_300.prefab,0,3000,0,9,0,0,0,0,2024-08-10,,,,
15,6,3,다이아 1000개 구매,Shop/Prefabs/Product/Product_Diamond_1000.prefab,0,10000,0,10,0,0,0,0,2024-08-10,,,,
16,6,4,다이아 3000개 구매,Shop/Prefabs/Product/Product_Diamond_3000.prefab,0,30000,0,11,0,0,0,0,2024-08-10,,,,
17,6,5,다이아 5000개 구매,Shop/Prefabs/Product/Product_Diamond_5000.prefab,0,50000,0,12,0,0,0,0,2024-08-10,,,,
18,6,6,다이아 10000개 구매,Shop/Prefabs/Product/Product_Diamond_7000.prefab,0,100000,0,13,0,0,0,0,2024-08-10,,,,
19,7,1,골드 1100개 구매,Shop/Prefabs/Product/Product_Gold_5000.prefab,1,10,0,14,3,1,2,1,2024-08-10,,,,
20,7,2,골드 5500개 구매,Shop/Prefabs/Product/Product_Gold_10000.prefab,1,50,0,15,0,0,0,0,2024-08-10,,,,
21,7,3,골드 11000개 구매,Shop/Prefabs/Product/Product_Gold_50000.prefab,1,100,0,16,0,0,0,0,2024-08-10,,,,
22,7,4,골드 110000개 구매,Shop/Prefabs/Product/Product_Gold_100000.prefab,1,1000,0,17,0,0,0,0,2024-08-10,,,,
23,7,5,골드 550000개 구매,Shop/Prefabs/Product/Product_Gold_200000.prefab,1,5000,0,18,0,0,0,0,2024-08-10,,,,
24,7,6,골드 1100000개 구매,Shop/Prefabs/Product/Product_Gold_500000.prefab,1,10000,0,19,0,0,0,0,2024-08-10,,,,
25,8,1,행동력 60개 구매,Shop/Prefabs/Product/Product_Stamina.prefab,1,100,0,20,5,0,0,1,2024-08-10,,,,
26,8,2,소환권 구매,Shop/Prefabs/Product/Product_Ticket_Summon.prefab,1,300,0,21,10,0,1,1,2024-08-10,,,,
27,8,3,장비 상자 구매,Shop/Prefabs/Product/Product_Box_Equipment_01.prefab,1,200,0,22,10,0,0,1,2024-08-10,,,,
28,8,4,속성 상자 구매,Shop/Prefabs/Product/Product_Box_Elemental_01.prefab,1,200,0,23,10,0,0,1,2024-08-10,,,,
29,8,5,자동 전투권 구매,Shop/Prefabs/Product/Product_Auto.prefab,1,15,0,24,10,0,0,1,2024-08-10,,,,악마를 소환 할 수 있는 영혼을 담은 아이템
