guid,icon,name,type,sell,option_1,option_2,option_3,desc_1,desc_2
41001,Equipment/Icon_Weapon_Sword_Common.png,대검,0,100,,,"3,0,-1,1",조잡ㅎ,
41002,Equipment/Icon_Armor_Plate_Common.png,판금갑옷,0,100,,,"3,1,-1,0",0,
41003,Equipment/Icon_Ring_Ruby_Common.png,루비 반지,0,100,,,"3,2,-1,-1",0,
41004,Equipment/Icon_Necklace_Ruby_Common.png,루비 목걸이,0,100,,,"3,3,-1,-1",0,
42001,Equipment/Icon_Weapon_Axe_Common.png,도끼,0,100,,,"3,0,-1,1",0,
42002,Equipment/Icon_Armor_Chain_Common.png,사슬조끼,0,100,,,"3,1,-1,0",0,
42003,Equipment/Icon_Ring_Sapphire_Common.png,사파이어 반지,0,100,,,"3,2,-1,-1",0,
42004,Equipment/Icon_Necklace_Sapphire_Common.png,사파이어 목걸이,0,100,,,"3,3,-1,-1",0,
43001,Equipment/Icon_Weapon_Dagger_Common.png,단검,0,100,,,"3,0,-1,1",0,
43002,Equipment/Icon_Armor_Leather_Common.png,가죽 갑옷,0,100,,,"3,1,-1,0",0,
43003,Equipment/Icon_Ring_Topaz_Common.png,토파즈 반지,0,100,,,"3,2,-1,-1",0,
43004,Equipment/Icon_Necklace_Topaz_Common.png,토파즈 목걸이,0,100,,,"3,3,-1,-1",0,
44001,Equipment/Icon_Weapon_Wand_Common.png,지팡이,0,100,,,"3,0,-1,1",0,
44002,Equipment/Icon_Armor_Cloth_Common.png,천 갑옷,0,100,,,"3,1,-1,0",0,
44003,Equipment/Icon_Ring_Emerald_Common.png,에메랄드 반지,0,100,,,"3,2,-1,-1",0,
44004,Equipment/Icon_Necklace_Emerald_Common.png,에메랄드 목걸이,0,100,,,"3,3,-1,-1",0,
31001,Equipment/Icon_Weapon_Sword_Rare.png,기사의 대검,0,1000,2,0.1,"2,0,0,1",0,
31002,Equipment/Icon_Armor_Plate_Rare.png,기사의 판금갑옷,0,1000,2,0.1,"2,1,0,0",0,
31003,Equipment/Icon_Ring_Ruby_Rare.png,기사의 반지,0,1000,2,0.1,"2,2,0,-1",0,
31004,Equipment/Icon_Necklace_Ruby_Rare.png,기사의 목걸이,0,1000,2,0.1,"2,3,0,-1",0,
32001,Equipment/Icon_Weapon_Axe_Rare.png,전사의 도끼,0,1000,4,0.05,"2,0,1,1",0,
32002,Equipment/Icon_Armor_Chain_Rare.png,전사의 사슬갑옷,0,1000,4,0.05,"2,1,1,0",0,
32003,Equipment/Icon_Ring_Sapphire_Rare.png,전사의 반지,0,1000,4,0.05,"2,2,1,-1",0,
32004,Equipment/Icon_Necklace_Sapphire_Rare.png,전사의 목걸이,0,1000,4,0.05,"2,3,1,-1",0,
33001,Equipment/Icon_Weapon_Dagger_Rare.png,암살자의 단검,0,1000,0,0.1,"2,0,2,1",0,
33002,Equipment/Icon_Armor_Leather_Rare.png,암살자의 가죽갑옷,0,1000,0,0.1,"2,1,2,0",0,
33003,Equipment/Icon_Ring_Topaz_Rare.png,암살자의 반지,0,1000,0,0.1,"2,2,2,-1",0,
33004,Equipment/Icon_Necklace_Topaz_Rare.png,암살자의 목걸이,0,1000,0,0.1,"2,3,2,-1",0,
34001,Equipment/Icon_Weapon_Wand_Rare.png,마법사의 지팡이,0,1000,5,0.05,"2,0,3,1",0,
34002,Equipment/Icon_Armor_Cloth_Rare.png,마법사의 로브,0,1000,5,0.05,"2,1,3,0",0,
34003,Equipment/Icon_Ring_Emerald_Rare.png,마법사의 반지,0,1000,5,0.05,"2,2,3,-1",0,
34004,Equipment/Icon_Necklace_Emerald_Rare.png,마법사의 목걸이,0,1000,5,0.05,"2,3,3,-1",0,
21001,Equipment/Icon_Weapon_Sword_Epic.png,집행자의 대검,0,10000,"2,6","0.1,0.5","1,0,0,1",0,
21002,Equipment/Icon_Armor_Plate_Epic.png,집행자의 판금갑옷,0,10000,"2,6","0.1,0.5","1,1,0,0",0,
21003,Equipment/Icon_Ring_Ruby_Epic.png,집행자의 반지,0,10000,"2,6","0.1,0.5","1,2,0,-1",0,
21004,Equipment/Icon_Necklace_Ruby_Epic.png,집행자의 목걸이,0,10000,"2,6","0.1,0.5","1,3,0,-1",0,
22001,Equipment/Icon_Weapon_Axe_Epic.png,도살자의 도끼,0,10000,"4,3","0.05,0.1","1,0,1,1",0,
22002,Equipment/Icon_Armor_Chain_Epic.png,도살자의 사슬갑옷,0,10000,"4,3","0.05,0.1","1,1,1,0",0,
22003,Equipment/Icon_Ring_Sapphire_Epic.png,도살자의 반지,0,10000,"4,3","0.05,0.1","1,2,1,-1",0,
22004,Equipment/Icon_Necklace_Sapphire_Epic.png,도살자의 목걸이,0,10000,"4,3","0.05,0.1","1,3,1,-1",0,
23001,Equipment/Icon_Weapon_Dagger_Epic.png,응징의 단검,0,10000,"0,7","0.1,0.1","1,0,2,1",0,
23002,Equipment/Icon_Armor_Leather_Epic.png,응징의 가죽갑옷,0,10000,"0,7","0.1,0.1","1,1,2,0",0,
23003,Equipment/Icon_Ring_Topaz_Epic.png,응징의 반지,0,10000,"0,7","0.1,0.1","1,2,2,-1",0,
23004,Equipment/Icon_Necklace_Topaz_Epic.png,응징의 목걸이,0,10000,"0,7","0.1,0.1","1,3,2,-1",0,
24001,Equipment/Icon_Weapon_Wand_Epic.png,초월자의 지팡이,0,10000,"5,4","0.05,0.1","1,0,3,1",0,
24002,Equipment/Icon_Armor_Cloth_Epic.png,초월자의 로브,0,10000,"5,4","0.05,0.1","1,1,3,0",0,
24003,Equipment/Icon_Ring_Emerald_Epic.png,초월자의 반지,0,10000,"5,4","0.05,0.1","1,2,3,-1",0,
24004,Equipment/Icon_Necklace_Emerald_Epic.png,초월자의 목걸이,0,10000,"5,4","0.05,0.1","1,3,3,-1",0,
11001,Equipment/Icon_Weapon_Sword_Legendary.png,집행자의 대검+,0,100000,"2,6,4","0.1,0.5,0.1","0,0,0,1",0,
11002,Equipment/Icon_Armor_Plate_Legendary.png,집행자의 판금갑옷+,0,100000,"2,6,4","0.1,0.5,0.1","0,1,0,0",0,
11003,Equipment/Icon_Ring_Ruby_Legendary.png,집행자의 반지+,0,100000,"2,6,4","0.1,0.5,0.1","0,2,0,-1",0,
11004,Equipment/Icon_Necklace_Ruby_Legendary.png,집행자의 목걸이+,0,100000,"2,6,4","0.1,0.5,0.1","0,3,0,-1",0,
12001,Equipment/Icon_Weapon_Axe_Legendary.png,도살자의 도끼+,0,100000,"4,3,1","0.05,0.1,0.1","0,0,1,1",0,
12002,Equipment/Icon_Armor_Chain_Legendary.png,도살자의 사슬갑옷+,0,100000,"4,3,1","0.05,0.1,0.1","0,1,1,0",0,
12003,Equipment/Icon_Ring_Sapphire_Legendary.png,도살자의 반지+,0,100000,"4,3,1","0.05,0.1,0.1","0,2,1,-1",0,
12004,Equipment/Icon_Necklace_Sapphire_Legendary.png,도살자의 목걸이+,0,100000,"4,3,1","0.05,0.1,0.1","0,3,1,-1",0,
13001,Equipment/Icon_Weapon_Dagger_Legendary.png,응징의 단검+,0,100000,"0,7,5","0.1,0.1,0.1","0,0,2,1",0,
13002,Equipment/Icon_Armor_Leather_Legendary.png,응징의 가죽갑옷+,0,100000,"0,7,5","0.1,0.1,0.1","0,1,2,0",0,
13003,Equipment/Icon_Ring_Topaz_Legendary.png,응징의 반지+,0,100000,"0,7,5","0.1,0.1,0.1","0,2,2,-1",0,
13004,Equipment/Icon_Necklace_Topaz_Legendary.png,응징의 목걸이+,0,100000,"0,7,5","0.1,0.1,0.1","0,3,2,-1",0,
14001,Equipment/Icon_Weapon_Wand_Legendary.png,초월자의 지팡이+,0,100000,"5,4,3","0.05,0.1,0.1","0,0,3,1",0,
14002,Equipment/Icon_Armor_Cloth_Legendary.png,초월자의 로브+,0,100000,"5,4,3","0.05,0.1,0.1","0,1,3,0",0,
14003,Equipment/Icon_Ring_Emerald_Legendary.png,초월자의 반지+,0,100000,"5,4,3","0.05,0.1,0.1","0,2,3,-1",0,
14004,Equipment/Icon_Necklace_Emerald_Legendary.png,초월자의 목걸이+,0,100000,"5,4,3","0.05,0.1,0.1","0,3,3,-1",0,
