Dg_Rwd_Item_Grp_ID,Dg_Rwd_Item_ID,Dg_Rwd_Item_Per,Dg_Rwd_Item_Value_Min,Dg_Rwd_Item_Value_Max
1,70016,0.2,1,1
2,70017,0.4,1,1
3,70017,0.6,1,1
4,70018,0.8,1,1
5,70018,1,1,1
6,52001,1,2,3
7,52001,1,4,5
8,52002,1,1,1
8,52001,1,2,3
9,52002,1,2,3
9,52001,1,4,5
10,52002,1,4,5
10,52001,1,4,5
11,52003,1,1,1
11,52002,1,2,3
11,52001,1,4,5
12,52003,1,2,3
12,52002,1,2,3
12,52001,1,2,3
13,52003,1,4,5
13,52002,1,2,3
14,52003,1,7,8
14,52002,1,4,5
15,60013,1,3,4
16,13100,1,1,1
17,13100,1,1,2
17,60013,1,4,5
18,13100,1,1,2
18,60017,0.8,3,4
19,60017,1,1,1
19,12100,0.2,1,2
20,12100,1,4,5
20,60017,1,1,2
21,12100,1,3,4
21,60021,0.8,1,1
22,60021,1,1,2
22,11100,0.2,4,5
23,11100,1,1,2
23,60021,1,4,6
24,60014,1,3,4
25,13200,1,1,1
26,13200,1,1,2
26,60014,1,4,5
27,13200,1,1,2
27,60018,0.8,3,4
28,60018,1,1,1
28,12200,0.2,1,2
29,12200,1,4,5
29,60018,1,1,2
30,12200,1,3,4
30,60022,0.8,1,1
31,60022,1,1,2
31,11200,0.2,4,5
32,11200,1,1,2
32,60022,1,4,6
33,60015,1,3,4
34,13300,1,1,1
35,13300,1,1,2
35,60015,1,4,5
36,13300,1,1,2
36,60019,0.8,3,4
37,60019,1,1,1
37,12300,0.2,1,2
38,12300,1,4,5
38,60019,1,1,2
39,12300,1,3,4
39,60023,0.8,1,1
40,60023,1,1,2
40,11300,0.2,4,5
41,11300,1,1,2
41,60023,1,4,6
42,60016,1,3,4
43,13400,1,1,1
44,13400,1,1,2
44,60016,1,4,5
45,13400,1,1,2
45,60020,0.8,3,4
46,60020,1,1,1
46,12400,0.2,1,2
47,12400,1,4,5
47,60020,1,1,2
48,12400,1,3,4
48,60024,0.8,1,1
49,60024,1,1,2
49,11400,0.2,4,5
50,11400,1,1,2
50,60024,1,4,6
51,60001,1,3,4
52,60001,1,3,4
52,54001,0.8,1,1
53,60001,1,4,5
53,54001,1,1,2
54,60005,1,3,4
55,60005,1,3,4
55,54005,0.8,1,1
56,60005,1,4,5
56,54005,1,1,2
57,60009,1,3,4
58,60009,1,3,4
58,54009,0.8,1,1
59,60009,1,4,5
59,54009,1,1,2
60,60002,1,3,4
61,60002,1,3,4
61,54002,0.8,1,1
62,60002,1,4,5
62,54002,1,1,2
63,60006,1,3,4
64,60006,1,3,4
64,54006,0.8,1,1
65,60006,1,4,5
65,54006,1,1,2
66,60010,1,3,4
67,60010,1,3,4
67,54010,0.8,1,1
68,60010,1,4,5
68,54010,1,1,2
69,60003,1,3,4
70,60003,1,3,4
70,54003,0.8,1,1
71,60003,1,4,5
71,54003,1,1,2
72,60007,1,3,4
73,60007,1,3,4
73,54007,0.8,1,1
74,60007,1,4,5
74,54007,1,1,2
75,60011,1,3,4
76,60011,1,3,4
76,54011,0.8,1,1
77,60011,1,4,5
77,54011,1,1,2
78,60004,1,3,4
79,60004,1,3,4
79,54004,0.8,1,1
80,60004,1,4,5
80,54004,1,1,2
81,60008,1,3,4
82,60008,1,3,4
82,54008,0.8,1,1
83,60008,1,4,5
83,54008,1,1,2
84,60012,1,3,4
85,60012,1,3,4
85,54012,0.8,1,1
86,60012,1,4,5
86,54012,1,1,2
