Dg_index,Dg_Image,Dg_Bg,Dg_Name,Dg_Act,Dg_Time,Dg_Week,Dg_Lv,Dg_Rwd_Gold_Min,Dg_Rwd_Gold_Max,Dg_Rwd_Item_Grp_ID,Dg_Mob_Wave,Dg_Comment,Dg_ClearCondition_1,Dg_ClearCondition_2,Dg_ClearCondition_3
0,Dg_1,Bg_11,광산 습격,15,60,1,1,1000,1400,,90001,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,2,4625,6475,,90002,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,3,8250,11550,,90003,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,4,11875,16625,,90004,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,5,15500,21700,1,90005,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,6,19125,26775,2,90006,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,7,22750,31850,3,90007,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,8,26375,36925,4,90008,,0,1,
0,Dg_1,Bg_11,광산 습격,15,60,1,9,30000,42000,5,90009,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,1,800,1200,6,90010,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,2,1700,2550,7,90011,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,3,2600,3900,8,90012,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,4,3500,5250,9,90013,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,5,4400,6600,10,90014,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,6,5300,7950,11,90015,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,7,6200,9300,12,90016,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,8,7100,10650,13,90017,,0,1,
1,Dg_2,Bg_12,짐마차 지키기,15,60,0,9,8000,12000,14,90018,,0,1,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,1,800,1200,15,90019,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,2,1700,2550,16,90020,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,3,2600,3900,17,90021,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,4,3500,5250,18,90022,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,5,4400,6600,19,90023,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,6,5300,7950,20,90024,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,7,6200,9300,21,90025,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,8,7100,10650,22,90026,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,9,8000,12000,23,90027,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,1,800,1200,24,90028,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,2,1700,2550,25,90029,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,3,2600,3900,26,90030,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,4,3500,5250,27,90031,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,5,4400,6600,28,90032,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,6,5300,7950,29,90033,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,7,6200,9300,30,90034,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,8,7100,10650,31,90035,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,9,8000,12000,32,90036,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,1,800,1200,33,90037,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,2,1700,2550,34,90038,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,3,2600,3900,35,90039,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,4,3500,5250,36,90040,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,5,4400,6600,37,90041,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,6,5300,7950,38,90042,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,7,6200,9300,39,90043,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,8,7100,10650,40,90044,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,9,8000,12000,41,90045,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,1,800,1200,42,90046,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,2,1700,2550,43,90047,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,3,2600,3900,44,90048,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,4,3500,5250,45,90049,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,5,4400,6600,46,90050,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,6,5300,7950,47,90051,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,7,6200,9300,48,90052,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,8,7100,10650,49,90053,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,9,8000,12000,50,90054,,2,,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,1,800,1200,51,90055,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,2,1700,2550,52,90056,,0,1,
