Item_Equip_ID,Item_Equip_Icon,Item_Equip_Name,Item_Equip_Class,Item_Equip_Slot,Item_Equip_Set,Item_Equip_Set_Type_1,Item_Equip_Set_Value_1,Item_Equip_Set_Type_2,Item_Equip_Set_Value_2,Item_Equip_Set_Type_3,Item_Equip_Set_Value_3,Item_Equip_Sell,Item_Equip_Subject
30001,Equipment/Icon_Weapon_Sword_Common.png,대검,3,0,,,,,,,,100,조잡ㅎ
30002,Equipment/Icon_Armor_Plate_Common.png,판금갑옷,3,1,,,,,,,,100,
30003,Equipment/Icon_Ring_Ruby_Common.png,루비 반지,3,2,,,,,,,,100,
30004,Equipment/Icon_Necklace_Ruby_Common.png,루비 목걸이,3,3,,,,,,,,100,
30005,Equipment/Icon_Weapon_Axe_Common.png,도끼,3,0,,,,,,,,100,
30006,Equipment/Icon_Armor_Chain_Common.png,사슬조끼,3,1,,,,,,,,100,
30007,Equipment/Icon_Ring_Sapphire_Common.png,사파이어 반지,3,2,,,,,,,,100,
30008,Equipment/Icon_Necklace_Sapphire_Common.png,사파이어 목걸이,3,3,,,,,,,,100,
30009,Equipment/Icon_Weapon_Dagger_Common.png,단검,3,0,,,,,,,,100,
30010,Equipment/Icon_Armor_Leather_Common.png,가죽 갑옷,3,1,,,,,,,,100,
30011,Equipment/Icon_Ring_Topaz_Common.png,토파즈 반지,3,2,,,,,,,,100,
30012,Equipment/Icon_Necklace_Topaz_Common.png,토파즈 목걸이,3,3,,,,,,,,100,
30013,Equipment/Icon_Weapon_Wand_Common.png,지팡이,3,0,,,,,,,,100,
30014,Equipment/Icon_Armor_Cloth_Common.png,천 갑옷,3,1,,,,,,,,100,
30015,Equipment/Icon_Ring_Emerald_Common.png,에메랄드 반지,3,2,,,,,,,,100,
30016,Equipment/Icon_Necklace_Emerald_Common.png,에메랄드 목걸이,3,3,,,,,,,,100,
20001,Equipment/Icon_Weapon_Sword_Rare.png,기사의 대검,2,0,0,2,0.1,,,,,1000,
20002,Equipment/Icon_Armor_Plate_Rare.png,기사의 판금갑옷,2,1,0,2,0.1,,,,,1000,
20003,Equipment/Icon_Ring_Ruby_Rare.png,기사의 반지,2,2,0,2,0.1,,,,,1000,
20004,Equipment/Icon_Necklace_Ruby_Rare.png,기사의 목걸이,2,3,0,2,0.1,,,,,1000,
20005,Equipment/Icon_Weapon_Axe_Rare.png,전사의 도끼,2,0,1,4,0.05,,,,,1000,
20006,Equipment/Icon_Armor_Chain_Rare.png,전사의 사슬갑옷,2,1,1,4,0.05,,,,,1000,
20007,Equipment/Icon_Ring_Sapphire_Rare.png,전사의 반지,2,2,1,4,0.05,,,,,1000,
20008,Equipment/Icon_Necklace_Sapphire_Rare.png,전사의 목걸이,2,3,1,4,0.05,,,,,1000,
20009,Equipment/Icon_Weapon_Dagger_Rare.png,암살자의 단검,2,0,2,0,0.1,,,,,1000,
20010,Equipment/Icon_Armor_Leather_Rare.png,암살자의 가죽갑옷,2,1,2,0,0.1,,,,,1000,
20011,Equipment/Icon_Ring_Topaz_Rare.png,암살자의 반지,2,2,2,0,0.1,,,,,1000,
20012,Equipment/Icon_Necklace_Topaz_Rare.png,암살자의 목걸이,2,3,2,0,0.1,,,,,1000,
20013,Equipment/Icon_Weapon_Wand_Rare.png,마법사의 지팡이,2,0,3,5,0.05,,,,,1000,
20014,Equipment/Icon_Armor_Cloth_Rare.png,마법사의 로브,2,1,3,5,0.05,,,,,1000,
20015,Equipment/Icon_Ring_Emerald_Rare.png,마법사의 반지,2,2,3,5,0.05,,,,,1000,
20016,Equipment/Icon_Necklace_Emerald_Rare.png,마법사의 목걸이,2,3,3,5,0.05,,,,,1000,
10001,Equipment/Icon_Weapon_Sword_Epic.png,집행자의 대검,1,0,0,2,0.1,6,0.5,,,10000,
10002,Equipment/Icon_Armor_Plate_Epic.png,집행자의 판금갑옷,1,1,0,2,0.1,6,0.5,,,10000,
10003,Equipment/Icon_Ring_Ruby_Epic.png,집행자의 반지,1,2,0,2,0.1,6,0.5,,,10000,
10004,Equipment/Icon_Necklace_Ruby_Epic.png,집행자의 목걸이,1,3,0,2,0.1,6,0.5,,,10000,
10005,Equipment/Icon_Weapon_Axe_Epic.png,도살자의 도끼,1,0,1,4,0.05,3,0.1,,,10000,
10006,Equipment/Icon_Armor_Chain_Epic.png,도살자의 사슬갑옷,1,1,1,4,0.05,3,0.1,,,10000,
10007,Equipment/Icon_Ring_Sapphire_Epic.png,도살자의 반지,1,2,1,4,0.05,3,0.1,,,10000,
10008,Equipment/Icon_Necklace_Sapphire_Epic.png,도살자의 목걸이,1,3,1,4,0.05,3,0.1,,,10000,
10009,Equipment/Icon_Weapon_Dagger_Epic.png,응징의 단검,1,0,2,0,0.1,7,0.1,,,10000,
