,,,,"0 무기
1 방어구
2 반지
3 목걸이","0 집행
1 도살
2 응징
3 초월","0 Hp
1 Atk
2 Cri
3 Cri_Damage
4 Speed_Atk
5 Speed_Move
6 Range_Atk
7 Range_Move",,"0 Hp
1 Atk
2 Cri
3 Cri_Damage
4 Speed_Atk
5 Speed_Move
6 Range_Atk
7 Range_Move",,"0 Hp
1 Atk
2 Cri
3 Cri_Damage
4 Speed_Atk
5 Speed_Move
6 Range_Atk
7 Range_Move",,,
아이템 고유 ID,아이콘 파일명,장비 아이템 이름,등급,장착 부위,세트 명칭,세트 효과_1,효과 값 1,세트 효과_2,효과 값 2,세트 효과_3,효과 값 3,판매금액,설명 문구
Item_Equip_ID,Item_Equip_Icon,Item_Equip_Name,Item_Equip_Class,Item_Equip_Slot,Item_Equip_Set,Item_Equip_Set_Type_1,Item_Equip_Set_Value_1,Item_Equip_Set_Type_2,Item_Equip_Set_Value_2,Item_Equip_Set_Type_3,Item_Equip_Set_Value_3,Item_Equip_Sell,Item_Equip_Subject
30001,Equipment/Icon_Weapon_Sword_Common.png,대검,3,0,,,,,,,,100,조잡ㅎ
30002,Equipment/Icon_Armor_Plate_Common.png,판금갑옷,3,1,,,,,,,,100,
30003,Equipment/Icon_Ring_Ruby_Common.png,루비 반지,3,2,,,,,,,,100,
30004,Equipment/Icon_Necklace_Ruby_Common.png,루비 목걸이,3,3,,,,,,,,100,
30005,Equipment/Icon_Weapon_Axe_Common.png,도끼,3,0,,,,,,,,100,
30006,Equipment/Icon_Armor_Chain_Common.png,사슬조끼,3,1,,,,,,,,100,
30007,Equipment/Icon_Ring_Sapphire_Common.png,사파이어 반지,3,2,,,,,,,,100,
30008,Equipment/Icon_Necklace_Sapphire_Common.png,사파이어 목걸이,3,3,,,,,,,,100,
30009,Equipment/Icon_Weapon_Dagger_Common.png,단검,3,0,,,,,,,,100,
30010,Equipment/Icon_Armor_Leather_Common.png,가죽 갑옷,3,1,,,,,,,,100,
30011,Equipment/Icon_Ring_Topaz_Common.png,토파즈 반지,3,2,,,,,,,,100,
30012,Equipment/Icon_Necklace_Topaz_Common.png,토파즈 목걸이,3,3,,,,,,,,100,
30013,Equipment/Icon_Weapon_Wand_Common.png,지팡이,3,0,,,,,,,,100,
30014,Equipment/Icon_Armor_Cloth_Common.png,천 갑옷,3,1,,,,,,,,100,
30015,Equipment/Icon_Ring_Emerald_Common.png,에메랄드 반지,3,2,,,,,,,,100,
30016,Equipment/Icon_Necklace_Emerald_Common.png,에메랄드 목걸이,3,3,,,,,,,,100,
20001,Equipment/Icon_Weapon_Sword_Rare.png,기사의 대검,2,0,0,2,0.1,,,,,1000,
20002,Equipment/Icon_Armor_Plate_Rare.png,기사의 판금갑옷,2,1,0,2,0.1,,,,,1000,
20003,Equipment/Icon_Ring_Ruby_Rare.png,기사의 반지,2,2,0,2,0.1,,,,,1000,
20004,Equipment/Icon_Necklace_Ruby_Rare.png,기사의 목걸이,2,3,0,2,0.1,,,,,1000,
