Item_Parts_ID,Item_Parts_Icon,Item_Parts_Name,Item_Parts_Combine,Item_Parts_Gain_1,Item_Parts_Sell,Item_Parts_Subject
60001,60001,하급 땅의 속성석 조각,10,54001,1000,하급 땅의 속성석을 제작할 수 있는 조각
60002,60002,하급 불의 속성석 조각,10,54002,1000,하급 불의 속성석을 제작할 수 있는 조각
60003,60003,하급 바람의 속성석 조각,10,54003,1000,하급 바람의 속성석을 제작할 수 있는 조각
60004,60004,하급 물의 속성석 조각,10,54004,1000,하급 물의 속성석을 제작할 수 있는 조각
60005,60005,중급 땅의 속성석 조각,10,54005,10000,중급 땅의 속성석을 제작할 수 있는 조각
60006,60006,중급 불의 속성석 조각,10,54006,10000,중급 불의 속성석을 제작할 수 있는 조각
60007,60007,중급 바람의 속성석 조각,10,54007,10000,중급 바람의 속성석을 제작할 수 있는 조각
60008,60008,중급 물의 속성석 조각,10,54008,10000,중급 물의 속성석을 제작할 수 있는 조각
60009,60009,상급 땅의 속성석 조각,10,54009,100000,상급 땅의 속성석을 제작할 수 있는 조각
60010,60010,상급 불의 속성석 조각,10,54010,100000,상급 불의 속성석을 제작할 수 있는 조각
60011,60011,상급 바람의 속성석 조각,10,54011,100000,상급 바람의 속성석을 제작할 수 있는 조각
60012,60012,상급 물의 속성석 조각,10,54012,100000,상급 물의 속성석을 제작할 수 있는 조각
60013,60013,레어 아이템 조각,10,300,1000,레어 장비 아이템을 획득할 수 있는 재료
60014,60014,에픽 아이템 조각,10,200,10000,에픽 장비 아이템을 획득할 수 있는 재료
60015,60015,전설 아이템 조각,10,100,100000,전설 장비 아이템을 획득할 수 있는 재료
