Wave_Grp_ID,Wave_Grp_Index,Wave_Grp_Delay,Wave_Grp_Pattern,Wave_Grp_Mob_Delay_1,Wave_Grp_Spawn_1,Wave_Grp_Mob_ID_1,Wave_Grp_Mob_Lv_1,Wave_Grp_Mob_Value_1,Wave_Grp_Mob_Delay_2,Wave_Grp_Spawn_2,Wave_Grp_Mob_ID_2,Wave_Grp_Mob_Lv_2,Wave_Grp_Mob_Value_2,Wave_Grp_Mob_Delay_3,Wave_Grp_Spawn_3,Wave_Grp_Mob_ID_3,Wave_Grp_Mob_Lv_3,Wave_Grp_Mob_Value_3,Wave_Grp_Mob_Delay_4,Wave_Grp_Spawn_4,Wave_Grp_Mob_ID_4,Wave_Grp_Mob_Lv_4,Wave_Grp_Mob_Value_4,Wave_Grp_Mob_Delay_5,Wave_Grp_Spawn_5,Wave_Grp_Mob_ID_5,Wave_Grp_Mob_Lv_5,Wave_Grp_Mob_Value_5
1,1,3,0,6,2,20001,1,3,8,1,20001,1,3,4,3,20001,1,4,,,,,,,,,,
2,1,3,0,6,2,20001,1,3,8,1,20001,1,3,5,3,20001,1,4,4,2,20002,1,3,,,,,
3,1,3,0,5,2,20002,1,3,4,1,20001,1,3,6,3,20002,1,3,,,,,,,,,,
3,2,10,0,7,10,20003,1,3,9,11,20003,1,3,5,12,20003,1,3,,,,,,,,,,
4,1,3,0,5,2,20001,1,3,4,1,20002,1,3,6,3,20001,1,4,,,,,,,,,,
4,2,3,0,5,7,20001,1,3,4,8,20002,1,3,6,4,20001,1,3,6,5,20002,1,3,,,,,
5,1,3,0,1,2,30003,1,1,,,,,,,,,,,,,,,,,,,,
6,1,1,0,4,2,20001,1,5,3.8,1,20002,1,5,4.2,3,20001,1,5,,,,,,,,,,
6,2,15,0,5,7,20003,1,3,4.8,8,20002,1,3,5.1,10,20003,1,3,4.9,11,20002,1,3,,,,,
7,1,1,0,10,1,20001,1,2,8,2,20002,1,2,12,3,20001,1,2,,,,,,,,,,
7,2,1,0,8,4,20003,1,2,10,5,20003,1,2,12,6,20003,1,2,,,,,,,,,,
7,3,1,0,12,7,20003,1,2,14,8,20001,1,2,16,9,20003,1,2,,,,,,,,,,
7,4,1,0,10,10,20003,1,2,14,11,20001,1,2,18,12,20003,1,2,,,,,,,,,,
8,1,3,1,1,1,20001,1,1,1,2,20002,1,1,1,3,20003,1,1,,,,,,,,,,
8,2,4,1,1,1,20001,1,1,1,2,20002,1,1,1,3,20003,1,1,,,,,,,,,,
8,3,5,1,1,1,20001,1,1,1,2,20002,1,1,1,3,20003,1,1,,,,,,,,,,
8,3,15,1,1,4,20001,1,2,1,5,20002,1,2,1,6,20003,1,2,,,,,,,,,,
8,3,25,1,1,9,20001,1,2,1,8,20002,1,2,1,7,20003,1,2,,,,,,,,,,
8,3,35,1,1,10,20001,1,2,1,11,20002,1,2,1,12,20003,1,2,,,,,,,,,,
9,1,1,0,8,1,20001,1,2,10,2,20002,1,2,13,3,20001,1,2,,,,,,,,,,
9,2,1,0,10,4,20003,1,3,12,5,20003,1,3,18,6,20003,1,3,,,,,,,,,,
9,3,1,0,8,7,20003,1,3,11,8,20001,1,3,15,9,20003,1,3,,,,,,,,,,
9,4,1,0,8,10,20003,1,3,11,11,20001,1,3,15,12,20003,1,3,,,,,,,,,,
10,1,1,0,9,1,20001,1,2,14,2,20002,1,2,13,3,20001,1,2,,,,,,,,,,
10,2,1,0,15,4,20003,1,2,18,5,20003,1,2,18,6,20003,1,2,,,,,,,,,,
10,3,1,0,9,7,20003,1,2,12,8,20001,1,2,15,9,20003,1,2,,,,,,,,,,
10,4,4,0,9,10,20003,1,2,12,11,20001,1,2,15,12,20003,1,2,,,,,,,,,,
10,5,20,1,1,2,20001,1,1,1,2,20001,1,1,1,2,20001,1,1,,,,,,,,,,
10,8,30,1,1,2,30003,1,1,,,,,,,,,,,,,,,,,,,,
