Pass_Rwd_Grp,Pass_Rwd_index,Pass_Rwd_Point,Pass_Rwd_Normal_1,Pass_Rwd_Normal_Value_1,Pass_Rwd_Normal_2,Pass_Rwd_Normal_Value_2,Pass_Rwd_Ad_1,Pass_Rwd_Ad_Value_1,Pass_Rwd_Ad_2,Pass_Rwd_Ad_Value_2,Pass_Rwd_Special_1,Pass_Rwd_Special_Value_1,Pass_Rwd_Special_2,Pass_Rwd_Special_Value_2
1,1,100,53002,2,,,53002,1,,,53003,1,,
,2,100,0,10,,,0,10,,,0,100,,
,3,100,53002,2,,,53002,1,,,53003,1,,
,4,100,0,10,,,0,10,,,0,100,,
,5,100,53002,2,,,53002,1,,,53003,1,,
,6,100,0,10,,,0,10,,,0,100,,
,7,100,53002,2,,,53002,1,,,53003,1,,
,8,100,0,10,,,0,10,,,0,100,,
,9,100,53002,2,,,53002,1,,,53003,1,,
,10,100,0,10,,,0,10,,,0,100,,
,11,100,53002,2,,,53002,1,,,53003,1,,
,12,100,0,10,,,0,10,,,0,100,,
,13,100,53002,2,,,53002,1,,,53003,1,,
,14,100,0,10,,,0,10,,,0,100,,
,15,100,53002,2,,,53002,1,,,53003,1,,
,16,100,0,10,,,0,10,,,0,100,,
,17,100,53002,2,,,53002,1,,,53003,1,,
,18,100,0,10,,,0,10,,,0,100,,
,19,100,53002,2,,,53002,1,,,53003,1,,
,20,100,0,10,,,0,10,,,0,100,,
,21,100,53002,2,,,53002,1,,,53003,1,,
,22,100,0,10,,,0,10,,,0,100,,
,23,100,53002,2,,,53002,1,,,53003,1,,
,24,100,0,10,,,0,10,,,0,100,,
,25,100,53002,2,,,53002,1,,,53003,1,,
,26,100,0,10,,,0,10,,,0,100,,
,27,100,53002,2,,,53002,1,,,53003,1,,
,28,100,0,10,,,0,10,,,0,100,,
,29,100,53002,2,,,53002,1,,,53003,1,,
,30,100,0,10,,,0,10,,,0,100,,
,31,100,53002,2,,,53002,1,,,53003,1,,
,32,100,0,10,,,0,10,,,0,100,,
,33,100,53002,2,,,53002,1,,,53003,1,,
,34,100,0,10,,,0,10,,,0,100,,
,35,100,53002,2,,,53002,1,,,53003,1,,
,36,100,0,10,,,0,10,,,0,100,,
,37,100,53002,2,,,53002,1,,,53003,1,,
,38,100,0,10,,,0,10,,,0,100,,
,39,100,53002,2,,,53002,1,,,53003,1,,
,40,100,0,10,,,0,10,,,0,100,,
