Id,Name,CoolTime,Range,Duration(3),Stack(4),Status_0,Type_0,Grp_0,Status_1,Type_1,Grp_1,Status_2,Type_2,Grp_2,Description
100011,Lv1 죽음과 부패,23,8,10,,1,0.2,,1,0.6,1,,,,"바닥 위 아군의 체력 [{0}] 만큼 회복
<{0}>에게 [{3}]초간 무적 효과 부여"
100012,Lv2 죽음과 부패,20,8,11,,1,0.3,,1,0.6,1,,,,"바닥 위 아군의 체력 [{0}] 만큼 회
<{0}>에게 [{3}]초간 무적 효과 부여
바닥 위 적군에게 [{1}] 피해"
100013,Lv3 죽음과 부패,18,8,12,,1,0.5,,1,0.6,1,,,,"바닥 위 아군의 체력 [{0}] 만큼 회복
<{0}>에게 [{3}]초간 무적 효과 부여
바닥 위 적군에게 [{1}] 피해"
100021,Lv1 냉기폭발,23,4,0,,1,6,,1,0.5,,,,,"대상에게 [{0}] 피해
대상 주변 범위 적에게 [{1}] 피해"
100022,Lv2 냉기폭발,20,4,0,,1,6.6,,1,0.7,,4,0.1,,"대상에게 [{0}] 피해
대상 주변 범위 적에게 [{1}] 피해
피해를 입은 모든 적의 [{2}] 감소"
100023,Lv3 냉기폭발,18,4,0,,1,7,,1,1,,4,0.1,,"대상에게 [{0}] 피해
대상 주변 범위 적에게 [{1}] 피해
피해를 입은 모든 적의 [{2}] 감소"
100031,Lv1 내려치기,23,2,0,,1,5,,,,,,,,대상에게 [{0}] 피해
100032,Lv2 내려치기,20,2,0,,1,5.5,,,,,,,,대상에게 [{0}] 피해
100033,Lv3 내려치기,18,2,0,,1,6,,,,,,,,대상에게 [{0}] 피해
100041,Lv1 강력한 한발!,23,8,0,,1,5,,,,,,,,대상에게 [{0}] 피해
100042,Lv2 강력한 한발!,20,8,0,,1,5.5,,,,,,,,대상에게 [{0}] 피해
100043,Lv3 강력한 한발!,18,8,0,,1,6,,,,,,,,대상에게 [{0}] 피해
100051,Lv1 줄을 서라,23,4,0,,1,3,,1,2,,,,,"갈고리를 던질때 범위 내 적에게 [{0}] 피해를 주고, 갈고리를 당길때 적군을 자신에게 끌어당기며 [{1}] 피해를 준다."
100052,Lv2 줄을 서라,20,4,0,,1,3,,1,3,,,,,"갈고리를 던질때 범위 내 적에게 [{0}] 피해를 주고, 갈고리를 당길때 적군을 자신에게 끌어당기며 [{1}] 피해를 준다."
100053,Lv3 줄을 서라,18,4,0,,1,3,,1,4,,,,,"갈고리를 던질때 범위 내 적에게 [{0}] 피해를 주고, 갈고리를 당길때 적군을 자신에게 끌어당기며 [{1}] 피해를 준다."
100061,Lv1 워 크라이,23,30,10,,2,0.1,2,4,0.1,2,,,,"함성을 질러 <{0}>에게 [{0}], [{1}]를 증가시킨다."
100062,Lv2 워 크라이,20,30,10,,2,0.15,2,4,0.15,2,,,,"함성을 질러 <{0}>에게 [{0}], [{1}]를 증가시킨다."
100063,Lv3 워 크라이,18,30,10,,2,0.2,2,4,0.2,2,,,,"함성을 질러 <{0}>에게 [{0}], [{1}]를 증가시킨다."
100071,Lv1 크게 한바퀴,23,3,0,,1,3,,,,,,,,주변 범위 내 모든 적군에게 [{0}] 피해
